Date,Price,Open,High,Low,Vol.,Change %
May 05 2006,34.4300,34.3700,34.5000,33.6200,8.40M,1.41%
May 06 2006,34.3100,34.2900,34.4800,33.6900,,
May 07 2006,34.1900,34.2100,34.4600,33.7600,,
May 08 2006,33.9500,34.0500,34.4200,33.9000,5.86M,-1.39%
May 09 2006,34.1600,33.6900,34.2800,33.3000,9.07M,0.62%
May 10 2006,32.8300,33.9500,33.9800,32.8200,12.28M,-3.89%
May 11 2006,31.4900,33.1000,33.1000,31.2500,17.16M,-4.08%
May 12 2006,31.6600,31.7000,32.3200,31.2500,14.36M,0.54%
May 13 2006,31.5250,31.6750,32.3375,31.1050,,
May 14 2006,31.3900,31.6500,32.3550,30.9600,,
May 15 2006,31.1200,31.6000,32.3900,30.6700,11.95M,-1.71%
May 16 2006,30.8100,30.9000,30.9600,29.6800,17.91M,-1.00%
May 17 2006,30.7700,30.9000,31.4900,30.6900,12.71M,-0.13%
May 18 2006,31.3500,30.9400,31.4100,30.4500,24.10M,1.88%
May 19 2006,34.9500,34.2400,34.9600,33.5600,48.62M,11.48%
May 20 2006,34.5075,34.2925,34.9075,33.2800,,
May 21 2006,34.0650,34.3450,34.8550,33.0000,,
May 22 2006,33.1800,34.4500,34.7500,32.4400,22.73M,-5.06%
May 23 2006,31.7900,33.7200,34.0000,31.7400,16.16M,-4.19%
May 24 2006,31.1800,31.9000,32.8600,30.5800,20.78M,-1.92%
May 25 2006,30.9700,31.5100,31.5100,30.2500,19.44M,-0.67%
May 26 2006,31.6300,31.1900,31.9500,30.8000,9.68M,2.13%
May 27 2006,31.4000,31.2300,31.8700,30.7020,,
May 28 2006,31.1700,31.2700,31.7900,30.6040,,
May 29 2006,30.9400,31.3100,31.7100,30.5060,,
May 30 2006,30.4800,31.3900,31.5500,30.3100,11.39M,-3.64%
May 31 2006,30.8900,30.9500,31.2300,30.4100,10.19M,1.35%
Jun 01 2006,31.3900,31.0500,31.4300,30.4500,14.44M,1.62%
Jun 02 2006,30.1000,31.5200,31.9200,29.9500,21.21M,-4.11%
Jun 03 2006,29.8400,31.1525,31.4750,29.7150,,
Jun 04 2006,29.5800,30.7850,31.0300,29.4800,,
Jun 05 2006,29.0600,30.0500,30.1400,29.0100,17.07M,-3.46%
Jun 06 2006,28.9500,29.1000,29.3500,28.5500,18.03M,-0.38%
Jun 07 2006,28.0000,28.9400,29.3300,27.9200,17.35M,-3.28%
Jun 08 2006,27.0300,27.3700,27.7000,26.2300,30.62M,-3.46%
Jun 09 2006,26.7500,27.4000,28.0300,26.6500,14.96M,-1.04%
Jun 10 2006,26.4825,27.2500,27.7650,26.3875,,
Jun 11 2006,26.2150,27.1000,27.5000,26.1250,,
Jun 12 2006,25.6800,26.8000,26.9700,25.6000,14.35M,-4.00%
Jun 13 2006,24.3900,25.4600,26.3000,24.3700,23.82M,-5.02%
Jun 14 2006,25.1100,24.9800,25.7200,24.6000,24.17M,2.95%
Jun 15 2006,26.1100,25.4000,26.3000,25.3500,14.07M,3.98%
Jun 16 2006,25.6400,26.1100,26.3800,25.5000,11.82M,-1.80%
Jun 17 2006,25.4675,26.0450,26.2900,25.3500,,
Jun 18 2006,25.2950,25.9800,26.2000,25.2000,,
Jun 19 2006,24.9500,25.8500,26.0200,24.9000,10.92M,-2.69%
Jun 20 2006,24.8700,24.9000,25.3000,24.6200,10.48M,-0.32%
Jun 21 2006,25.4200,24.8600,25.9000,24.7500,12.17M,2.21%
Jun 22 2006,25.3700,25.4100,25.8900,25.0600,11.47M,-0.20%
Jun 23 2006,25.1400,25.7500,25.7900,25.1300,9.20M,-0.91%
Jun 24 2006,25.0200,25.6375,25.6875,24.9400,,
Jun 25 2006,24.9000,25.5250,25.5850,24.7500,,
Jun 26 2006,24.6600,25.3000,25.3800,24.3700,11.92M,-1.91%
Jun 27 2006,24.2600,24.6600,24.6600,23.4600,19.71M,-1.62%
Jun 28 2006,23.8900,24.3300,24.4600,23.7000,12.02M,-1.53%
Jun 29 2006,24.8100,24.1000,24.8800,23.8600,11.13M,3.85%
Jun 30 2006,24.4200,24.9900,24.9900,24.1600,9.43M,-1.57%
Jul 01 2006,24.4650,24.8625,24.9225,24.1800,,
Jul 02 2006,24.5100,24.7350,24.8550,24.2000,,
Jul 03 2006,24.6000,24.4800,24.7200,24.2400,4.70M,0.74%
Jul 04 2006,24.3667,24.4233,24.6233,24.1033,,
Jul 05 2006,23.9000,24.3100,24.4300,23.8300,11.45M,-2.85%
Jul 06 2006,23.8300,24.0700,24.3900,23.6600,12.59M,-0.29%
Jul 07 2006,23.5600,22.8100,23.8000,22.4500,28.94M,-1.13%
Jul 08 2006,23.2975,23.0350,23.8275,22.4200,,
Jul 09 2006,23.0350,23.2600,23.8550,22.3900,,
Jul 10 2006,22.5100,23.7100,23.9100,22.3300,15.46M,-4.46%
Jul 11 2006,22.9800,22.3500,23.0800,22.0200,14.59M,2.09%
Jul 12 2006,22.8400,22.9000,23.0800,22.4500,17.81M,-0.61%
Jul 13 2006,22.1300,22.7300,23.2400,22.1000,18.83M,-3.11%
Jul 14 2006,21.6000,22.0800,22.3000,21.2300,13.54M,-2.39%
Jul 15 2006,21.4300,21.8975,22.1700,21.1200,,
Jul 16 2006,21.2600,21.7150,22.0400,21.0100,,
Jul 17 2006,20.9200,21.3500,21.7800,20.7900,15.54M,-3.15%
Jul 18 2006,20.5500,20.7100,21.1900,20.0800,16.59M,-1.77%
Jul 19 2006,21.4600,20.7800,21.6600,20.3800,18.32M,4.43%
Jul 20 2006,21.6500,21.9000,22.1000,21.1600,31.08M,0.89%
Jul 21 2006,18.2600,19.7800,19.8000,18.2300,41.37M,-15.66%
Jul 22 2006,18.0425,19.2400,19.2825,17.8975,,
