Date,Price,Open,High,Low,Vol.,Change %
Jan 18 2006,9.1600,9.2700,9.2700,9.0000,1.40M,-1.29%
Jan 19 2006,9.4900,9.1400,9.5600,8.8000,3.31M,3.60%
Jan 20 2006,9.2600,9.6000,9.6800,9.2500,2.31M,-2.42%
Jan 21 2006,9.3325,9.5150,9.6500,9.2450,,
Jan 22 2006,9.4050,9.4300,9.6200,9.2400,,
Jan 23 2006,9.5500,9.2600,9.5600,9.2300,1.74M,3.13%
Jan 24 2006,10.5600,9.5500,10.6800,9.3800,5.62M,10.58%
Jan 25 2006,10.6000,10.7000,11.0300,10.0300,7.02M,0.38%
Jan 26 2006,10.4900,10.6500,10.8300,10.4400,2.42M,-1.04%
Jan 27 2006,10.2000,10.0100,10.5200,9.7100,6.93M,-2.76%
Jan 28 2006,10.1050,10.0200,10.4500,9.6975,,
Jan 29 2006,10.0100,10.0300,10.3800,9.6850,,
Jan 30 2006,9.8200,10.0500,10.2400,9.6600,2.97M,-3.73%
Jan 31 2006,10.1600,9.8200,10.2000,9.2100,6.56M,3.46%
Feb 01 2006,11.1300,10.5000,11.4000,10.3800,7.18M,9.55%
Feb 02 2006,11.0400,11.0800,11.6000,10.6100,10.59M,-0.81%
Feb 03 2006,11.1000,11.2400,11.6800,11.0600,5.80M,0.54%
Feb 04 2006,11.1100,11.2950,11.6250,11.0300,,
Feb 05 2006,11.1200,11.3500,11.5700,11.0000,,
Feb 06 2006,11.1400,11.4600,11.4600,10.9400,3.96M,0.36%
Feb 07 2006,10.6900,11.1100,11.2300,10.2800,3.58M,-4.04%
Feb 08 2006,10.7000,10.9000,10.9600,10.5200,1.95M,0.09%
Feb 09 2006,10.6000,10.7500,10.8700,10.5600,2.13M,-0.93%
Feb 10 2006,10.3500,10.6500,10.6500,9.7900,3.58M,-2.36%
Feb 11 2006,10.4000,10.5375,10.6700,9.8925,,
Feb 12 2006,10.4500,10.4250,10.6900,9.9950,,
Feb 13 2006,10.5500,10.2000,10.7300,10.2000,1.66M,1.93%
Feb 14 2006,10.4000,10.5500,10.6000,10.3400,1.48M,-1.42%
Feb 15 2006,10.4000,10.4000,10.4600,10.3200,882.00K,0.00%
Feb 16 2006,10.3100,10.4500,10.4700,10.2200,848.00K,-0.87%
Feb 17 2006,10.2700,10.3500,10.3900,10.0300,1.63M,-0.39%
Feb 18 2006,10.2020,10.3340,10.3680,9.9740,,
Feb 19 2006,10.1340,10.3180,10.3460,9.9180,,
Feb 20 2006,10.0660,10.3020,10.3240,9.8620,,
Feb 21 2006,9.9300,10.2700,10.2800,9.7500,2.39M,-3.31%
Feb 22 2006,9.8500,9.8300,9.9700,9.6300,3.32M,-0.81%
Feb 23 2006,9.9800,10.0400,10.3800,9.8000,7.78M,1.32%
Feb 24 2006,10.9000,10.3600,11.1500,10.3600,11.02M,9.22%
Feb 25 2006,11.0175,10.5200,11.2225,10.4850,,
Feb 26 2006,11.1350,10.6800,11.2950,10.6100,,
Feb 27 2006,11.3700,11.0000,11.4400,10.8600,4.82M,4.31%
Feb 28 2006,10.9500,11.3200,11.5800,10.8100,4.04M,-3.69%
Mar 01 2006,11.3500,11.0000,11.3700,11.0000,3.08M,3.65%
Mar 02 2006,11.8700,11.3200,11.8800,11.1600,4.25M,4.58%
Mar 03 2006,12.1200,12.1000,12.5900,12.0000,6.88M,2.11%
Mar 04 2006,12.1550,12.1500,12.5925,12.0025,,
Mar 05 2006,12.1900,12.2000,12.5950,12.0050,,
Mar 06 2006,12.2600,12.3000,12.6000,12.0100,4.60M,1.16%
Mar 07 2006,12.0000,12.2600,12.2600,11.8300,3.19M,-2.12%
Mar 08 2006,11.8400,12.2000,12.2000,11.7500,5.13M,-1.33%
Mar 09 2006,12.8000,11.8900,12.9000,11.8900,5.45M,8.11%
Mar 10 2006,13.4300,12.8000,13.4800,12.5400,7.09M,4.92%
Mar 11 2006,13.6375,13.0125,13.6850,12.7750,,
Mar 12 2006,13.8450,13.2250,13.8900,13.0100,,
Mar 13 2006,14.2600,13.6500,14.3000,13.4800,9.42M,6.18%
Mar 14 2006,13.7200,14.3000,14.4400,13.6100,9.25M,-3.79%
Mar 15 2006,13.8600,13.7500,14.2200,13.5000,5.50M,1.02%
Mar 16 2006,13.3600,13.8600,14.0400,13.0200,7.09M,-3.61%
Mar 17 2006,13.6200,13.3600,13.6800,12.8800,5.98M,1.95%
Mar 18 2006,13.7725,13.4725,13.8175,13.1125,,
Mar 19 2006,13.9250,13.5850,13.9550,13.3450,,
Mar 20 2006,14.2300,13.8100,14.2300,13.8100,5.58M,4.48%
Mar 21 2006,14.0500,14.3400,14.7200,13.9200,6.88M,-1.26%
Mar 22 2006,13.6000,13.7100,13.8100,13.1300,6.84M,-3.20%
Mar 23 2006,13.4100,13.5500,13.8600,13.2600,2.94M,-1.40%
Mar 24 2006,13.4400,13.2000,13.6600,13.1500,2.11M,0.22%
Mar 25 2006,13.5725,13.2925,13.7800,13.2250,,
Mar 26 2006,13.7050,13.3850,13.9000,13.3000,,
Mar 27 2006,13.9700,13.5700,14.1400,13.4500,5.24M,3.94%
Mar 28 2006,13.7200,13.9700,14.1500,13.5400,3.08M,-1.79%
Mar 29 2006,13.5500,13.7200,13.9400,13.5000,1.98M,-1.24%
Mar 30 2006,14.2600,13.9000,14.3600,13.8500,5.51M,5.24%
Mar 31 2006,13.8100,14.3500,14.6300,13.4600,9.69M,-3.16%
Apr 01 2006,13.5125,14.2600,14.4775,13.2025,,
Apr 02 2006,13.2150,14.1700,14.3250,12.9450,,
Apr 03 2006,12.6200,13.9900,14.0200,12.4300,10.27M,-8.62%
Apr 04 2006,13.0000,12.8100,13.2400,12.1200,9.97M,3.01%
Apr 05 2006,12.5700,13.1500,13.1800,12.3800,9.14M,-3.31%
Apr 06 2006,11.9600,12.5700,12.8900,11.7500,12.85M,-4.85%
Apr 07 2006,10.6000,11.6000,11.6000,10.4700,24.52M,-11.37%
Apr 08 2006,10.6775,11.3625,11.4450,10.4825,,
Apr 09 2006,10.7550,11.1250,11.2900,10.4950,,
Apr 10 2006,10.9100,10.6500,10.9800,10.5200,7.96M,2.92%
Apr 11 2006,11.3200,10.9700,11.3500,10.9300,9.02M,3.76%
Apr 12 2006,11.5300,11.3700,11.5700,10.9100,7.03M,1.86%
Apr 13 2006,11.7500,11.5300,11.8400,11.3200,4.79M,1.91%
Apr 14 2006,11.7140,11.5940,11.8700,11.3560,,
Apr 15 2006,11.6780,11.6580,11.9000,11.3920,,
Apr 16 2006,11.6420,11.7220,11.9300,11.4280,,
Apr 17 2006,11.5700,11.8500,11.9900,11.5000,4.06M,-1.53%
Apr 18 2006,13.2300,11.8000,13.2800,11.7800,13.19M,14.35%
Apr 19 2006,13.8600,13.2500,13.9100,12.8800,11.67M,4.76%
Apr 20 2006,14.0000,13.9100,14.0800,13.4600,8.07M,1.01%
Apr 21 2006,13.8000,14.0000,14.1000,13.6800,4.93M,-1.43%
Apr 22 2006,13.7125,13.9050,13.9950,13.5975,,
Apr 23 2006,13.6250,13.8100,13.8900,13.5150,,
Apr 24 2006,13.4500,13.6200,13.6800,13.3500,6.14M,-2.54%
Apr 25 2006,13.9600,13.3000,13.9600,13.2700,5.17M,3.79%
Apr 26 2006,14.0600,13.9500,14.1000,13.7200,4.12M,0.72%
Apr 27 2006,14.3200,13.9600,14.5500,13.6600,4.16M,1.85%
Apr 28 2006,14.2600,14.2000,14.4700,14.1200,4.77M,-0.42%
Apr 29 2006,14.0425,14.2150,14.4175,13.8800,,
Apr 30 2006,13.8250,14.2300,14.3650,13.6400,,
May 01 2006,13.3900,14.2600,14.2600,13.1600,7.72M,-6.10%
May 02 2006,13.5400,13.8900,13.9000,13.1100,7.21M,1.12%
May 03 2006,14.0300,13.5000,14.1400,13.4600,3.03M,3.62%
May 04 2006,13.8000,13.9800,14.0400,13.8000,3.58M,-1.64%
May 05 2006,14.8400,13.8000,15.0000,13.7000,8.05M,7.54%
May 06 2006,15.0725,14.0750,15.2275,13.9275,,
May 07 2006,15.3050,14.3500,15.4550,14.1550,,
May 08 2006,15.7700,14.9000,15.9100,14.6100,9.14M,6.27%
May 09 2006,15.4400,15.6100,16.1100,15.4000,6.70M,-2.09%
May 10 2006,15.5600,15.4000,15.9200,15.1500,3.87M,0.78%
May 11 2006,15.8300,15.8000,16.4800,15.4200,6.00M,1.74%
May 12 2006,15.1200,15.8800,15.8800,15.0200,4.22M,-4.49%
May 13 2006,15.1600,15.6575,15.8000,14.9700,,
May 14 2006,15.2000,15.4350,15.7200,14.9200,,
May 15 2006,15.2800,14.9900,15.5600,14.8200,5.01M,1.06%
May 16 2006,15.1600,15.2900,15.4400,14.8700,2.75M,-0.79%
May 17 2006,14.0000,15.0000,15.0100,13.8400,8.27M,-7.65%
May 18 2006,13.5900,14.0500,14.4300,13.3500,7.90M,-2.93%
May 19 2006,14.0000,13.7900,14.1700,13.3800,6.73M,3.02%
May 20 2006,13.4825,13.7400,14.0250,12.8975,,
May 21 2006,12.9650,13.6900,13.8800,12.4150,,
May 22 2006,11.9300,13.5900,13.5900,11.4500,24.05M,-14.79%
May 23 2006,11.7900,12.1300,12.3800,11.7900,11.62M,-1.17%
May 24 2006,10.8600,11.8200,11.8800,10.6400,12.53M,-7.89%
May 25 2006,11.2000,11.0000,11.2800,10.4800,10.51M,3.13%
May 26 2006,11.4900,11.4200,11.5500,11.1400,6.74M,2.59%
May 27 2006,11.3180,11.4180,11.5220,11.0280,,
May 28 2006,11.1460,11.4160,11.4940,10.9160,,
May 29 2006,10.9740,11.4140,11.4660,10.8040,,
May 30 2006,10.6300,11.4100,11.4100,10.5800,6.34M,-7.48%
May 31 2006,11.1400,10.7200,11.1600,10.7000,8.71M,4.80%
Jun 01 2006,11.1500,11.0500,11.2700,10.6300,7.57M,0.09%
Jun 02 2006,10.9500,11.3400,11.4500,10.7700,6.61M,-1.79%
Jun 03 2006,10.7925,11.3000,11.4000,10.6475,,
Jun 04 2006,10.6350,11.2600,11.3500,10.5250,,
Jun 05 2006,10.3200,11.1800,11.2500,10.2800,8.16M,-5.75%
Jun 06 2006,10.0700,10.3200,10.4400,9.7100,7.58M,-2.42%
Jun 07 2006,10.1400,10.1000,10.3600,9.8700,4.88M,0.70%
Jun 08 2006,9.9900,9.9500,10.2000,9.1400,8.56M,-1.48%
Jun 09 2006,10.1700,10.2500,10.3700,10.0400,5.13M,1.80%
Jun 10 2006,10.0775,10.2425,10.3475,9.9700,,
Jun 11 2006,9.9850,10.2350,10.3250,9.9000,,
Jun 12 2006,9.8000,10.2200,10.2800,9.7600,5.65M,-3.64%
Jun 13 2006,9.2000,9.8000,10.0400,9.2000,5.02M,-6.12%
Jun 14 2006,9.4000,9.2400,9.4900,9.0500,4.73M,2.17%
Jun 15 2006,9.8000,9.5000,10.0000,9.4600,5.05M,4.26%
Jun 16 2006,10.1200,9.6500,10.1700,9.3600,7.66M,3.27%
Jun 17 2006,10.0975,9.8150,10.2050,9.4775,,
Jun 18 2006,10.0750,9.9800,10.2400,9.5950,,
Jun 19 2006,10.0300,10.3100,10.3100,9.8300,4.72M,-0.89%
Jun 20 2006,9.9200,10.0300,10.1400,9.7300,2.50M,-1.10%
Jun 21 2006,10.7400,9.9600,10.9200,9.8600,5.21M,8.27%
Jun 22 2006,10.6000,10.8000,10.8200,10.4000,3.36M,-1.30%
Jun 23 2006,10.8900,10.5000,11.0500,10.4500,3.82M,2.74%
Jun 24 2006,10.9050,10.6100,11.0500,10.5175,,
Jun 25 2006,10.9200,10.7200,11.0500,10.5850,,
Jun 26 2006,10.9500,10.9400,11.0500,10.7200,1.95M,0.55%
Jun 27 2006,10.7100,10.9600,10.9600,10.6300,3.02M,-2.19%
Jun 28 2006,10.4100,10.6000,10.6700,10.0200,3.55M,-2.80%
Jun 29 2006,11.0700,10.4600,11.1000,10.4600,3.99M,6.34%
Jun 30 2006,11.5900,11.1800,11.5900,10.7400,8.58M,4.70%
Jul 01 2006,11.6600,11.2700,11.6750,10.8900,,
Jul 02 2006,11.7300,11.3600,11.7600,11.0400,,
Jul 03 2006,11.8700,11.5400,11.9300,11.3400,3.11M,2.42%
Jul 04 2006,11.7800,11.5600,11.8433,11.2867,,
Jul 05 2006,11.6000,11.6000,11.6700,11.1800,6.24M,-2.27%
Jul 06 2006,11.5100,11.6000,11.9000,11.3300,3.36M,-0.78%
Jul 07 2006,10.9700,11.3100,11.4900,10.9400,4.05M,-4.69%
Jul 08 2006,10.8675,11.2250,11.3800,10.8425,,
Jul 09 2006,10.7650,11.1400,11.2700,10.7450,,
Jul 10 2006,10.5600,10.9700,11.0500,10.5500,6.17M,-3.74%
Jul 11 2006,11.1000,10.5600,11.1100,10.3500,8.53M,5.11%
Jul 12 2006,11.7000,11.0900,11.9400,11.0700,9.96M,5.41%
Jul 13 2006,11.9600,11.7000,12.3300,11.5400,11.87M,2.22%
Jul 14 2006,11.9200,11.9100,12.0600,11.5500,11.39M,-0.33%
Jul 15 2006,11.8450,11.9125,12.0250,11.4950,,
Jul 16 2006,11.7700,11.9150,11.9900,11.4400,,
Jul 17 2006,11.6200,11.9200,11.9200,11.3300,9.51M,-2.52%
Jul 18 2006,11.2600,11.4400,11.6400,11.1100,28.29M,-3.10%
Jul 19 2006,11.7600,11.3800,11.8100,11.2100,9.99M,4.44%
Jul 20 2006,11.5900,11.8000,11.9900,11.5400,5.66M,-1.45%
Jul 21 2006,11.6200,11.5600,11.6200,10.9600,7.58M,0.26%
Jul 22 2006,11.7525,11.6125,11.7950,11.1525,,
Jul 23 2006,11.8850,11.6650,11.9700,11.3450,,
Jul 24 2006,12.1500,11.7700,12.3200,11.7300,8.12M,4.56%
Jul 25 2006,12.0300,12.2900,12.3000,11.9200,4.89M,-0.99%
Jul 26 2006,11.4400,12.0300,12.0600,11.4000,8.25M,-4.90%
Jul 27 2006,11.4000,11.4800,11.7400,11.2900,4.26M,-0.35%
Jul 28 2006,11.7900,11.7600,11.8200,11.5800,6.93M,3.42%
Jul 29 2006,11.8225,11.7600,11.8475,11.5825,,
Jul 30 2006,11.8550,11.7600,11.8750,11.5850,,
Jul 31 2006,11.9200,11.7600,11.9300,11.5900,2.62M,1.10%
Aug 01 2006,11.8200,11.8200,11.9900,11.6400,2.49M,-0.84%
Aug 02 2006,11.8800,11.8200,11.9300,11.8200,2.37M,0.51%
Aug 03 2006,11.7200,11.8300,11.8700,11.5500,4.51M,-1.35%
Aug 04 2006,11.8900,11.8500,11.9500,11.7300,3.21M,1.45%
Aug 05 2006,11.8550,11.8350,11.9350,11.7275,,
Aug 06 2006,11.8200,11.8200,11.9200,11.7250,,
Aug 07 2006,11.7500,11.7900,11.8900,11.7200,2.43M,-1.18%
Aug 08 2006,11.9400,11.7900,12.0800,11.7900,3.95M,1.62%
Aug 09 2006,11.9600,11.9800,12.1800,11.9500,3.56M,0.17%
Aug 10 2006,12.3000,11.9200,12.4100,11.7800,5.62M,2.84%
Aug 11 2006,12.0500,12.4600,12.4600,11.9700,3.74M,-2.03%
Aug 12 2006,12.0400,12.3700,12.3875,11.9525,,
Aug 13 2006,12.0300,12.2800,12.3150,11.9350,,
Aug 14 2006,12.0100,12.1000,12.1700,11.9000,2.58M,-0.33%
Aug 15 2006,12.1700,12.0000,12.2000,12.0000,3.99M,1.33%
Aug 16 2006,12.5000,12.0700,12.5800,12.0700,4.04M,2.71%
Aug 17 2006,12.7700,12.4900,12.9100,12.4000,4.91M,2.16%
Aug 18 2006,12.8700,12.7200,12.8900,12.6100,2.51M,0.78%
Aug 19 2006,12.8850,12.7575,12.9225,12.6350,,
Aug 20 2006,12.9000,12.7950,12.9550,12.6600,,
Aug 21 2006,12.9300,12.8700,13.0200,12.7100,4.00M,0.47%
Aug 22 2006,12.4800,12.9300,12.9600,12.4400,3.11M,-3.48%
