Date,Price,Open,High,Low,Vol.,Change %
Dec 13 2004,2148.5000,2141.2000,2148.5000,2132.1900,,0.96%
Dec 14 2004,2159.8400,2145.0500,2163.5000,2145.0500,,0.53%
Dec 15 2004,2162.5500,2159.6800,2171.2700,2151.3100,,0.13%
Dec 16 2004,2146.1500,2159.9600,2164.8000,2138.8100,,-0.76%
Dec 17 2004,2135.2000,2142.7100,2150.8500,2135.0500,,-0.51%
Dec 18 2004,2133.3625,2142.5850,2151.7575,2132.3425,,
Dec 19 2004,2131.5250,2142.4600,2152.6650,2129.6350,,
Dec 20 2004,2127.8500,2142.2100,2154.4800,2124.2200,,-0.34%
Dec 21 2004,2150.9100,2134.7500,2151.7100,2133.3400,,1.08%
Dec 22 2004,2157.0300,2145.9900,2163.4800,2145.1800,,0.28%
Dec 23 2004,2160.6200,2153.3100,2168.7800,2153.3100,,0.17%
Dec 24 2004,2159.3400,2156.4120,2169.4120,2152.1660,,
Dec 25 2004,2158.0600,2159.5140,2170.0440,2151.0220,,
Dec 26 2004,2156.7800,2162.6160,2170.6760,2149.8780,,
Dec 27 2004,2154.2200,2168.8200,2171.9400,2147.5900,,-0.30%
Dec 28 2004,2177.1900,2156.7500,2177.1900,2156.5300,,1.07%
Dec 29 2004,2177.0000,2170.9900,2182.3300,2170.9900,,-0.01%
Dec 30 2004,2178.3400,2177.4700,2182.3700,2176.4000,,0.06%
Dec 31 2004,2175.4400,2178.9800,2185.5600,2174.6300,,-0.13%
Jan 01 2005,2169.6175,2180.4225,2187.0700,2168.1525,,
Jan 02 2005,2163.7950,2181.8650,2188.5800,2161.6750,,
Jan 03 2005,2152.1500,2184.7500,2191.6000,2148.7200,,-1.07%
Jan 04 2005,2107.8600,2158.3100,2159.6400,2100.5600,,-2.06%
Jan 05 2005,2091.2400,2102.9000,2116.7500,2091.2400,,-0.79%
Jan 06 2005,2090.0000,2098.5100,2103.9000,2088.0300,,-0.06%
Jan 07 2005,2088.6100,2099.9500,2103.3900,2076.6900,,-0.07%
Jan 08 2005,2090.7175,2096.8675,2105.4000,2079.1825,,
Jan 09 2005,2092.8250,2093.7850,2107.4100,2081.6750,,
Jan 10 2005,2097.0400,2087.6200,2111.4300,2086.6600,,0.40%
Jan 11 2005,2079.6200,2089.0700,2090.6200,2072.6200,,-0.83%
Jan 12 2005,2092.5300,2089.7000,2093.4400,2066.7900,,0.62%
Jan 13 2005,2070.5600,2093.5400,2094.8000,2067.9400,,-1.05%
Jan 14 2005,2087.9100,2079.4700,2088.5800,2075.4700,,0.84%
Jan 15 2005,2091.5360,2079.9480,2092.1020,2075.9840,,
Jan 16 2005,2095.1620,2080.4260,2095.6240,2076.4980,,
Jan 17 2005,2098.7880,2080.9040,2099.1460,2077.0120,,
Jan 18 2005,2106.0400,2081.8600,2106.1900,2078.0400,,0.87%
Jan 19 2005,2073.5900,2105.7400,2105.8400,2072.2000,,-1.54%
Jan 20 2005,2045.8800,2056.3800,2065.5900,2045.8800,,-1.34%
Jan 21 2005,2034.2700,2053.1500,2058.0000,2032.8800,,-0.57%
Jan 22 2005,2027.8775,2049.8950,2054.4925,2026.8300,,
Jan 23 2005,2021.4850,2046.6400,2050.9850,2020.7800,,
Jan 24 2005,2008.7000,2040.1300,2043.9700,2008.6800,,-1.26%
Jan 25 2005,2019.9500,2022.0800,2037.1800,2017.5800,,0.56%
Jan 26 2005,2046.0900,2034.6900,2049.3400,2028.1900,,1.29%
Jan 27 2005,2047.1500,2042.7700,2053.9400,2036.0900,,0.05%
Jan 28 2005,2035.8300,2052.5400,2055.1300,2024.3600,,-0.55%
Jan 29 2005,2042.4750,2052.7725,2057.1425,2031.6375,,
Jan 30 2005,2049.1200,2053.0050,2059.1550,2038.9150,,
Jan 31 2005,2062.4100,2053.4700,2063.1800,2053.4700,,1.31%
Feb 01 2005,2068.7000,2063.2700,2071.5200,2058.6600,,0.30%
Feb 02 2005,2075.0600,2074.0600,2079.5800,2064.2000,,0.31%
Feb 03 2005,2057.6400,2065.4400,2066.9300,2049.2500,,-0.84%
Feb 04 2005,2086.6600,2056.4700,2086.7200,2056.2900,,1.41%
Feb 05 2005,2085.5025,2063.9900,2087.8325,2061.0700,,
Feb 06 2005,2084.3450,2071.5100,2088.9450,2065.8500,,
Feb 07 2005,2082.0300,2086.5500,2091.1700,2075.4100,,-0.22%
Feb 08 2005,2086.6800,2082.1100,2095.6400,2080.4200,,0.22%
Feb 09 2005,2052.5500,2088.5200,2089.3800,2051.0000,,-1.64%
Feb 10 2005,2053.1000,2058.5300,2059.6500,2040.0400,,0.03%
Feb 11 2005,2076.6600,2048.9600,2081.4800,2039.7200,,1.15%
Feb 12 2005,2078.2225,2055.9075,2082.3900,2048.4925,,
Feb 13 2005,2079.7850,2062.8550,2083.3000,2057.2650,,
Feb 14 2005,2082.9100,2076.7500,2085.1200,2074.8100,,0.30%
Feb 15 2005,2089.2100,2083.6400,2103.4500,2081.4600,,0.30%
Feb 16 2005,2087.4300,2082.4600,2093.3700,2079.3700,,-0.09%
Feb 17 2005,2061.3400,2088.6700,2093.6800,2061.3400,,-1.25%
Feb 18 2005,2058.6200,2065.1500,2068.8900,2056.2000,,-0.13%
Feb 19 2005,2052.9600,2061.3560,2068.0460,2050.9940,,
Feb 20 2005,2047.3000,2057.5620,2067.2020,2045.7880,,
Feb 21 2005,2041.6400,2053.7680,2066.3580,2040.5820,,
Feb 22 2005,2030.3200,2046.1800,2064.6700,2030.1700,,-1.37%
Feb 23 2005,2031.2500,2039.5500,2040.8400,2024.6400,,0.05%
Feb 24 2005,2051.7000,2028.4300,2051.8100,2023.0000,,1.01%
Feb 25 2005,2065.4000,2050.4900,2065.4000,2047.2300,,0.67%
Feb 26 2005,2061.9800,2052.4375,2065.6825,2045.1150,,
Feb 27 2005,2058.5600,2054.3850,2065.9650,2043.0000,,
Feb 28 2005,2051.7200,2058.2800,2066.5300,2038.7700,,-0.66%
Mar 01 2005,2071.2500,2057.4700,2073.7400,2057.1900,,0.95%
Mar 02 2005,2067.5000,2060.3000,2084.1500,2057.2200,,-0.18%
Mar 03 2005,2058.4000,2073.3300,2074.7100,2047.9200,,-0.44%
Mar 04 2005,2070.6100,2071.1500,2078.1400,2064.9300,,0.59%
Mar 05 2005,2075.5100,2071.8375,2083.7475,2067.1525,,
Mar 06 2005,2080.4100,2072.5250,2089.3550,2069.3750,,
Mar 07 2005,2090.2100,2073.9000,2100.5700,2073.8200,,0.95%
Mar 08 2005,2073.5500,2087.1100,2095.7400,2072.5900,,-0.80%
Mar 09 2005,2061.2900,2070.8500,2079.3700,2060.2300,,-0.59%
Mar 10 2005,2059.7200,2065.0900,2067.2100,2042.0200,,-0.08%
Mar 11 2005,2041.6000,2063.5600,2069.4000,2036.4100,,-0.88%
Mar 12 2005,2043.9600,2058.5800,2064.8100,2036.6600,,
Mar 13 2005,2046.3200,2053.6000,2060.2200,2036.9100,,
Mar 14 2005,2051.0400,2043.6400,2051.0400,2037.4100,,0.46%
Mar 15 2005,2034.9800,2057.1700,2059.0700,2034.4100,,-0.78%
Mar 16 2005,2015.7500,2028.2900,2037.9600,2011.6700,,-0.94%
Mar 17 2005,2016.4200,2016.9100,2023.6700,2010.5200,,0.03%
Mar 18 2005,2007.7900,2018.4100,2020.4000,1999.9800,,-0.43%
Mar 19 2005,2007.7200,2015.8475,2018.1475,1998.4250,,
Mar 20 2005,2007.6500,2013.2850,2015.8950,1996.8700,,
Mar 21 2005,2007.5100,2008.1600,2011.3900,1993.7600,,-0.01%
Mar 22 2005,1989.3400,2007.7200,2017.6600,1988.8600,,-0.91%
Mar 23 2005,1990.2200,1985.4900,1999.4300,1985.2200,,0.04%
Mar 24 2005,1991.0600,1997.4800,2008.6300,1991.0600,,0.04%
Mar 25 2005,1991.3520,1997.7360,2008.0020,1991.3520,,
Mar 26 2005,1991.6440,1997.9920,2007.3740,1991.6440,,
Mar 27 2005,1991.9360,1998.2480,2006.7460,1991.9360,,
Mar 28 2005,1992.5200,1998.7600,2005.4900,1992.5200,,0.07%
Mar 29 2005,1973.8800,1990.2700,2002.6500,1968.5800,,-0.94%
Mar 30 2005,2005.6700,1980.0700,2005.6700,1980.0700,,1.61%
Mar 31 2005,1999.2300,2005.7100,2006.6200,1994.8000,,-0.32%
Apr 01 2005,1984.8100,2009.0900,2014.7300,1982.1900,,-0.72%
Apr 02 2005,1986.3750,2002.7700,2009.9975,1979.6600,,
Apr 03 2005,1987.9400,1996.4500,2005.2650,1977.1300,,
Apr 04 2005,1991.0700,1983.8100,1995.8000,1972.0700,,0.32%
Apr 05 2005,1999.3200,1994.3800,2002.3500,1991.8800,,0.41%
Apr 06 2005,1999.1400,2004.2500,2017.0800,1996.9100,,-0.01%
Apr 07 2005,2018.7900,1999.6100,2018.7900,1998.1400,,0.98%
Apr 08 2005,1999.3500,2018.4200,2021.8200,1999.3300,,-0.96%
Apr 09 2005,1997.5425,2014.8550,2017.9250,1997.3000,,
Apr 10 2005,1995.7350,2011.2900,2014.0300,1995.2700,,
Apr 11 2005,1992.1200,2004.1600,2006.2400,1991.2100,,-0.36%
Apr 12 2005,2005.4000,1988.3300,2007.2400,1970.0100,,0.67%
Apr 13 2005,1974.3700,2000.4600,2001.3000,1972.1000,,-1.55%
Apr 14 2005,1946.7100,1974.1800,1975.4200,1946.5800,,-1.40%
Apr 15 2005,1908.1500,1932.9600,1940.1500,1906.7100,,-1.98%
Apr 16 2005,1909.3425,1926.3275,1935.5350,1906.1000,,
Apr 17 2005,1910.5350,1919.6950,1930.9200,1905.4900,,
Apr 18 2005,1912.9200,1906.4300,1921.6900,1904.2700,,0.25%
Apr 19 2005,1932.3600,1922.8200,1933.2100,1918.1500,,1.02%
Apr 20 2005,1913.7600,1944.6400,1945.6000,1912.3500,,-0.96%
Apr 21 2005,1962.4100,1931.8500,1962.4100,1928.5200,,2.54%
Apr 22 2005,1932.1900,1953.5800,1953.7700,1921.3800,,-1.54%
Apr 23 2005,1936.8375,1950.6900,1954.0450,1925.6475,,
Apr 24 2005,1941.4850,1947.8000,1954.3200,1929.9150,,
Apr 25 2005,1950.7800,1942.0200,1954.8700,1938.4500,,0.96%
Apr 26 2005,1927.4400,1943.7500,1958.5800,1927.4400,,-1.20%
Apr 27 2005,1930.4300,1919.4200,1937.1500,1913.1400,,0.16%
Apr 28 2005,1904.1800,1922.0300,1927.3100,1904.0800,,-1.36%
Apr 29 2005,1921.6500,1917.6400,1921.7700,1889.8300,,0.92%
Apr 30 2005,1923.4000,1919.0375,1924.6825,1896.3800,,
May 01 2005,1925.1500,1920.4350,1927.5950,1902.9300,,
May 02 2005,1928.6500,1923.2300,1933.4200,1916.0300,,0.36%
May 03 2005,1933.0700,1924.7800,1944.5300,1924.7800,,0.23%
May 04 2005,1962.2300,1937.7900,1963.2600,1935.2400,,1.51%
May 05 2005,1961.8000,1960.3800,1969.2900,1951.4900,,-0.02%
May 06 2005,1967.3500,1972.6600,1973.5000,1960.7600,,0.28%
May 07 2005,1970.4300,1971.4300,1975.0425,1960.6375,,
May 08 2005,1973.5100,1970.2000,1976.5850,1960.5150,,
May 09 2005,1979.6700,1967.7400,1979.6700,1960.2700,,0.63%
May 10 2005,1962.7700,1968.0800,1971.2500,1957.2900,,-0.85%
May 11 2005,1971.5500,1966.0600,1972.5200,1943.8900,,0.45%
May 12 2005,1963.8800,1970.8000,1982.2000,1956.4500,,-0.39%
May 13 2005,1976.7800,1978.2800,1990.0000,1964.7700,,0.66%
May 14 2005,1981.1925,1977.8050,1991.1175,1966.9950,,
May 15 2005,1985.6050,1977.3300,1992.2350,1969.2200,,
May 16 2005,1994.4300,1976.3800,1994.4700,1973.6700,,0.89%
May 17 2005,2004.1500,1986.1600,2004.1500,1980.9400,,0.49%
May 18 2005,2030.6500,2008.6300,2034.3000,2007.2000,,1.32%
May 19 2005,2042.5800,2032.0900,2042.6800,2030.0500,,0.59%
May 20 2005,2046.4200,2040.6300,2046.4200,2033.3500,,0.19%
May 21 2005,2048.9775,2042.1975,2050.5525,2036.7375,,
May 22 2005,2051.5350,2043.7650,2054.6850,2040.1250,,
May 23 2005,2056.6500,2046.9000,2062.9500,2046.9000,,0.50%
May 24 2005,2061.6200,2052.2800,2062.5200,2049.7700,,0.24%
May 25 2005,2050.1200,2055.7800,2055.7800,2041.9500,,-0.56%
May 26 2005,2071.2400,2057.9900,2072.5400,2057.8000,,1.03%
May 27 2005,2075.7300,2068.5300,2076.8000,2064.9900,,0.22%
May 28 2005,2074.2280,2069.6080,2076.6420,2064.9960,,
May 29 2005,2072.7260,2070.6860,2076.4840,2065.0020,,
May 30 2005,2071.2240,2071.7640,2076.3260,2065.0080,,
May 31 2005,2068.2200,2073.9200,2076.0100,2065.0200,,-0.36%
Jun 01 2005,2087.8600,2067.2300,2095.5400,2067.2300,,0.95%
Jun 02 2005,2097.8000,2081.6900,2097.8000,2081.4000,,0.48%
Jun 03 2005,2071.4300,2094.1800,2095.9900,2069.1700,,-1.26%
Jun 04 2005,2072.5125,2088.7250,2091.6450,2068.4675,,
Jun 05 2005,2073.5950,2083.2700,2087.3000,2067.7650,,
Jun 06 2005,2075.7600,2072.3600,2078.6100,2066.3600,,0.21%
Jun 07 2005,2067.1600,2079.0600,2095.9600,2067.1400,,-0.41%
