Date,Price,Open,High,Low,Vol.,Change %
Jan 09 2006,40.6700,39.8800,40.7200,39.8800,16.58M,1.62%
Jan 10 2006,40.7300,40.5000,40.7500,40.0700,16.61M,0.15%
Jan 11 2006,40.7000,40.7300,40.8700,40.6100,12.33M,-0.07%
Jan 12 2006,39.9500,40.2500,40.4200,39.9000,12.23M,-1.84%
Jan 13 2006,39.9200,39.7800,40.0300,39.6500,10.96M,-0.08%
Jan 14 2006,39.8780,39.7200,39.9880,39.6020,,
Jan 15 2006,39.8360,39.6600,39.9460,39.5540,,
Jan 16 2006,39.7940,39.6000,39.9040,39.5060,,
Jan 17 2006,39.7100,39.4800,39.8200,39.4100,9.94M,-0.53%
Jan 18 2006,39.2800,39.1100,39.7100,38.9500,17.91M,-1.08%
Jan 19 2006,39.0600,39.3400,39.4700,38.8000,12.09M,-0.56%
Jan 20 2006,38.0500,38.8100,38.8200,37.8800,20.91M,-2.59%
Jan 21 2006,38.1050,38.6425,38.7900,37.9025,,
Jan 22 2006,38.1600,38.4750,38.7600,37.9250,,
Jan 23 2006,38.2700,38.1400,38.7000,37.9700,13.17M,0.58%
Jan 24 2006,38.1100,38.2700,38.5300,38.0900,9.78M,-0.42%
Jan 25 2006,38.4800,38.1600,38.6800,38.0600,14.25M,0.97%
Jan 26 2006,39.5900,38.7100,39.8100,38.7100,16.19M,2.88%
Jan 27 2006,39.7500,39.2500,40.0400,39.1700,12.93M,0.40%
Jan 28 2006,39.7750,39.3175,40.0225,39.2325,,
Jan 29 2006,39.8000,39.3850,40.0050,39.2950,,
Jan 30 2006,39.8500,39.5200,39.9700,39.4200,8.70M,0.25%
Jan 31 2006,39.7500,40.0300,40.1900,39.7400,15.58M,-0.25%
Feb 01 2006,39.8800,39.8800,40.2200,39.6700,11.43M,0.33%
Feb 02 2006,39.9900,39.8800,40.1600,39.5900,10.31M,0.28%
Feb 03 2006,39.5300,39.4500,40.1000,39.4000,10.44M,-1.15%
Feb 04 2006,39.5075,39.4375,39.9750,39.3775,,
Feb 05 2006,39.4850,39.4250,39.8500,39.3550,,
Feb 06 2006,39.4400,39.4000,39.6000,39.3100,6.59M,-0.23%
Feb 07 2006,39.2600,39.2000,39.6000,39.0500,8.59M,-0.46%
Feb 08 2006,39.6000,39.2800,39.6200,39.2500,10.07M,0.87%
Feb 09 2006,39.7700,39.5300,40.0300,39.4400,8.50M,0.43%
Feb 10 2006,39.9200,39.6200,39.9800,39.2900,8.79M,0.38%
Feb 11 2006,39.8825,39.6575,40.0625,39.3700,,
Feb 12 2006,39.8450,39.6950,40.1450,39.4500,,
Feb 13 2006,39.7700,39.7700,40.3100,39.6100,7.79M,-0.38%
Feb 14 2006,40.1000,39.6600,40.3300,39.6500,12.90M,0.83%
Feb 15 2006,40.3200,39.9700,40.5000,39.9700,12.69M,0.55%
Feb 16 2006,40.8200,40.4500,40.8200,40.2400,11.57M,1.24%
Feb 17 2006,40.7800,40.6600,40.8200,40.4000,11.52M,-0.10%
Feb 18 2006,40.7640,40.6540,40.8460,40.4300,,
Feb 19 2006,40.7480,40.6480,40.8720,40.4600,,
Feb 20 2006,40.7320,40.6420,40.8980,40.4900,,
Feb 21 2006,40.7000,40.6300,40.9500,40.5500,7.32M,-0.20%
Feb 22 2006,41.4100,40.8900,41.5500,40.7400,13.17M,1.74%
Feb 23 2006,41.1100,41.2600,41.5700,41.0000,8.74M,-0.72%
Feb 24 2006,41.6600,40.9400,41.8300,40.8700,9.29M,1.34%
Feb 25 2006,41.6400,41.0925,41.8600,41.0400,,
Feb 26 2006,41.6200,41.2450,41.8900,41.2100,,
Feb 27 2006,41.5800,41.5500,41.9500,41.5500,8.54M,-0.19%
Feb 28 2006,41.1400,41.5900,41.6000,40.9700,11.72M,-1.06%
Mar 01 2006,41.6300,41.1600,41.9400,41.1300,10.55M,1.19%
Mar 02 2006,41.6600,41.6300,41.8400,41.3700,10.94M,0.07%
Mar 03 2006,41.5900,41.5000,42.0900,41.4300,12.29M,-0.17%
Mar 04 2006,41.5500,41.4950,42.0200,41.3575,,
Mar 05 2006,41.5100,41.4900,41.9500,41.2850,,
Mar 06 2006,41.4300,41.4800,41.8100,41.1400,9.88M,-0.38%
Mar 07 2006,41.4800,41.0200,41.6600,41.0200,9.44M,0.12%
Mar 08 2006,41.6000,41.4900,41.7400,41.2000,9.15M,0.29%
Mar 09 2006,41.0500,41.5000,41.7400,40.9600,9.77M,-1.32%
Mar 10 2006,41.1300,41.0600,41.4000,40.8700,11.18M,0.19%
Mar 11 2006,41.1125,41.1575,41.4200,40.8975,,
Mar 12 2006,41.0950,41.2550,41.4400,40.9250,,
Mar 13 2006,41.0600,41.4500,41.4800,40.9800,10.63M,-0.17%
Mar 14 2006,41.3800,41.2600,41.5000,41.2500,16.24M,0.78%
Mar 15 2006,41.2200,41.1600,41.3400,40.9900,14.02M,-0.39%
Mar 16 2006,41.3200,41.4200,41.5300,41.2600,10.05M,0.24%
Mar 17 2006,41.4000,41.3500,41.5000,41.2500,13.04M,0.19%
Mar 18 2006,41.4125,41.3400,41.5125,41.2250,,
Mar 19 2006,41.4250,41.3300,41.5250,41.2000,,
Mar 20 2006,41.4500,41.3100,41.5500,41.1500,9.42M,0.12%
Mar 21 2006,41.2000,41.2700,41.7100,41.0400,13.47M,-0.60%
Mar 22 2006,42.0500,41.1900,42.2000,41.0000,13.52M,2.06%
Mar 23 2006,42.0400,42.0500,42.2000,41.8200,12.99M,-0.02%
Mar 24 2006,42.1000,41.9900,42.4300,41.9100,7.21M,0.14%
Mar 25 2006,42.1025,41.9575,42.3725,41.8775,,
Mar 26 2006,42.1050,41.9250,42.3150,41.8450,,
Mar 27 2006,42.1100,41.8600,42.2000,41.7800,7.84M,0.02%
Mar 28 2006,41.5600,41.9300,42.2100,41.5000,15.56M,-1.31%
Mar 29 2006,41.6800,41.7300,42.0800,41.3100,7.82M,0.29%
Mar 30 2006,41.5300,41.5400,42.0400,41.1200,9.32M,-0.36%
Mar 31 2006,41.6400,41.7800,41.9400,41.5000,10.37M,0.26%
Apr 01 2006,41.7125,41.8225,42.0700,41.5950,,
Apr 02 2006,41.7850,41.8650,42.2000,41.6900,,
Apr 03 2006,41.9300,41.9500,42.4600,41.8800,10.87M,0.70%
Apr 04 2006,42.2700,41.6000,42.4600,41.5000,14.01M,0.81%
Apr 05 2006,42.5400,42.1700,42.6600,42.0400,9.55M,0.64%
Apr 06 2006,42.2900,42.3900,42.4700,42.0200,6.23M,-0.59%
Apr 07 2006,41.7000,42.2500,42.4400,41.6300,10.75M,-1.40%
Apr 08 2006,41.7450,42.1700,42.3950,41.6450,,
Apr 09 2006,41.7900,42.0900,42.3500,41.6600,,
Apr 10 2006,41.8800,41.9300,42.2600,41.6900,7.41M,0.43%
Apr 11 2006,41.6100,42.0000,42.3500,41.4800,8.83M,-0.64%
Apr 12 2006,41.9000,41.8300,41.9800,41.7000,5.87M,0.70%
Apr 13 2006,42.1900,41.9600,42.4200,41.9100,6.55M,0.69%
Apr 14 2006,42.1520,42.0240,42.4120,41.8940,,
Apr 15 2006,42.1140,42.0880,42.4040,41.8780,,
Apr 16 2006,42.0760,42.1520,42.3960,41.8620,,
Apr 17 2006,42.0000,42.2800,42.3800,41.8300,7.99M,-0.45%
Apr 18 2006,42.6000,42.2200,42.7500,42.0700,11.08M,1.43%
Apr 19 2006,42.6200,42.4000,42.9900,42.3000,9.45M,0.05%
Apr 20 2006,42.6000,42.5000,42.9500,42.3800,8.36M,-0.05%
Apr 21 2006,42.5000,42.8800,42.8800,42.4000,13.73M,-0.23%
Apr 22 2006,42.5450,42.7875,42.8550,42.3400,,
Apr 23 2006,42.5900,42.6950,42.8300,42.2800,,
Apr 24 2006,42.6800,42.5100,42.7800,42.1600,9.24M,0.42%
Apr 25 2006,42.2200,42.5300,42.8200,42.1100,11.57M,-1.08%
Apr 26 2006,42.6600,42.3900,42.7400,42.1600,10.35M,1.04%
Apr 27 2006,43.9500,42.6600,44.0600,42.5300,17.47M,3.02%
Apr 28 2006,45.3800,44.1000,45.9000,44.1000,28.26M,3.25%
Apr 29 2006,45.2300,44.4200,45.8225,44.2575,,
Apr 30 2006,45.0800,44.7400,45.7450,44.4150,,
May 01 2006,44.7800,45.3800,45.5900,44.7300,16.24M,-1.32%
May 02 2006,45.5000,45.0000,45.5100,44.9100,12.96M,1.61%
May 03 2006,45.4600,45.5900,45.7000,45.2200,15.59M,-0.09%
May 04 2006,45.6900,45.5100,45.8100,45.5000,10.55M,0.51%
May 05 2006,46.6500,45.9100,46.8000,45.6900,17.34M,2.10%
May 06 2006,46.5125,46.0825,46.7625,45.7775,,
May 07 2006,46.3750,46.2550,46.7250,45.8650,,
May 08 2006,46.1000,46.6000,46.6500,46.0400,10.28M,-1.18%
May 09 2006,46.0200,45.9400,46.3500,45.8500,7.93M,-0.17%
May 10 2006,45.9200,45.7400,46.1200,45.5100,7.22M,-0.22%
May 11 2006,45.1500,45.9200,45.9600,44.9600,10.53M,-1.68%
May 12 2006,44.3200,44.9500,44.9600,44.2600,18.21M,-1.84%
May 13 2006,44.3750,44.7950,44.9075,44.2575,,
May 14 2006,44.4300,44.6400,44.8550,44.2550,,
May 15 2006,44.5400,44.3300,44.7500,44.2500,11.23M,0.50%
May 16 2006,44.3200,44.6000,44.8000,44.1300,8.27M,-0.49%
May 17 2006,43.2500,43.8000,44.0500,43.0900,13.01M,-2.41%
May 18 2006,42.7400,43.2900,43.4100,42.6900,10.91M,-1.18%
May 19 2006,42.7500,42.9000,43.0500,42.5000,13.34M,0.02%
May 20 2006,42.7225,42.8625,43.0250,42.4600,,
May 21 2006,42.6950,42.8250,43.0000,42.4200,,
May 22 2006,42.6400,42.7500,42.9500,42.3400,14.82M,-0.26%
May 23 2006,42.1700,42.7400,42.8900,42.1200,13.26M,-1.10%
May 24 2006,42.1500,42.1000,42.4800,41.5900,14.16M,-0.05%
May 25 2006,42.8500,42.6500,42.9000,42.3200,9.90M,1.66%
May 26 2006,43.2300,43.1000,43.3800,42.9500,7.81M,0.89%
May 27 2006,43.0720,43.0600,43.3020,42.8480,,
May 28 2006,42.9140,43.0200,43.2240,42.7460,,
May 29 2006,42.7560,42.9800,43.1460,42.6440,,
May 30 2006,42.4400,42.9000,42.9900,42.4400,8.68M,-1.83%
May 31 2006,42.6400,42.6600,42.9700,42.1700,11.35M,0.47%
Jun 01 2006,43.5800,42.7500,43.6800,42.7300,9.03M,2.20%
Jun 02 2006,43.8100,43.8000,44.2000,43.5300,9.64M,0.53%
Jun 03 2006,43.6000,43.7650,44.1325,43.3750,,
Jun 04 2006,43.3900,43.7300,44.0650,43.2200,,
Jun 05 2006,42.9700,43.6600,43.9300,42.9100,7.87M,-1.92%
Jun 06 2006,42.3800,42.9700,43.1800,42.0100,12.68M,-1.37%
Jun 07 2006,42.2500,42.3700,42.7700,42.1300,9.96M,-0.31%
Jun 08 2006,42.3500,42.0000,42.5000,41.2500,14.40M,0.24%
Jun 09 2006,42.1000,42.3500,42.5900,42.0200,8.11M,-0.59%
Jun 10 2006,41.9750,42.2875,42.5000,41.9125,,
Jun 11 2006,41.8500,42.2250,42.4100,41.8050,,
Jun 12 2006,41.6000,42.1000,42.2300,41.5900,9.06M,-1.19%
