Date,Price,Open,High,Low,Vol.,Change %
Jan 06 2006,94.5200,89.9100,96.3300,89.3000,1.12M,7.76%
Jan 07 2006,95.0150,90.8350,97.2425,90.3250,,
Jan 08 2006,95.5100,91.7600,98.1550,91.3500,,
Jan 09 2006,96.5000,93.6100,99.9800,93.4000,718.84K,2.09%
Jan 10 2006,94.4300,93.3800,95.6000,93.2600,415.90K,-2.15%
Jan 11 2006,95.4500,95.0000,99.6400,94.1100,591.17K,1.08%
Jan 12 2006,93.5800,92.6900,95.5000,92.2500,423.11K,-1.96%
Jan 13 2006,95.6300,93.9900,96.4500,93.1300,277.35K,2.19%
Jan 14 2006,95.5020,94.1920,96.5280,93.4280,,
Jan 15 2006,95.3740,94.3940,96.6060,93.7260,,
Jan 16 2006,95.2460,94.5960,96.6840,94.0240,,
Jan 17 2006,94.9900,95.0000,96.8400,94.6200,265.90K,-0.67%
Jan 18 2006,94.2400,93.5300,95.4500,93.1800,279.72K,-0.79%
Jan 19 2006,95.4600,94.5000,96.0000,94.5000,227.78K,1.29%
Jan 20 2006,93.2400,95.9500,95.9500,93.1600,385.69K,-2.33%
Jan 21 2006,92.9175,95.3375,95.5775,91.7700,,
Jan 22 2006,92.5950,94.7250,95.2050,90.3800,,
Jan 23 2006,91.9500,93.5000,94.4600,87.6000,887.89K,-1.38%
Jan 24 2006,91.5900,91.7800,93.5600,90.8800,340.85K,-0.39%
Jan 25 2006,94.4300,92.6100,95.2700,92.6100,334.49K,3.10%
Jan 26 2006,95.7000,94.7500,96.7000,93.4700,215.24K,1.34%
Jan 27 2006,97.9400,95.7000,98.5000,95.7000,331.52K,2.34%
Jan 28 2006,98.3400,96.4450,99.3725,96.4175,,
Jan 29 2006,98.7400,97.1900,100.2450,97.1350,,
Jan 30 2006,99.5400,98.6800,101.9900,98.5700,509.51K,1.63%
Jan 31 2006,96.1100,98.6200,99.5400,95.2200,679.14K,-3.45%
Feb 01 2006,91.5000,91.5800,94.1200,90.1100,1.23M,-4.80%
Feb 02 2006,91.6300,91.4900,93.1200,90.5200,484.12K,0.14%
Feb 03 2006,93.1800,91.5500,94.2500,91.1000,294.93K,1.69%
Feb 04 2006,93.2775,91.9450,94.1825,91.4675,,
Feb 05 2006,93.3750,92.3400,94.1150,91.8350,,
Feb 06 2006,93.5700,93.1300,93.9800,92.5700,192.02K,0.42%
Feb 07 2006,93.3900,93.1500,94.4200,92.0300,321.71K,-0.19%
Feb 08 2006,92.9700,93.8600,94.3500,92.4800,214.21K,-0.45%
Feb 09 2006,93.0000,93.0000,94.4600,92.8500,166.17K,0.03%
Feb 10 2006,92.3600,92.7500,93.2400,90.9400,260.95K,-0.69%
Feb 11 2006,91.8975,92.5325,92.9850,90.6200,,
Feb 12 2006,91.4350,92.3150,92.7300,90.3000,,
Feb 13 2006,90.5100,91.8800,92.2200,89.6600,238.39K,-2.00%
Feb 14 2006,91.2300,90.9100,92.0400,90.2000,362.62K,0.80%
Feb 15 2006,90.8400,90.9700,92.0800,90.4600,258.22K,-0.43%
Feb 16 2006,92.4100,90.8000,92.9800,90.2000,265.70K,1.73%
Feb 17 2006,92.5600,91.7300,93.2000,91.5000,255.16K,0.16%
Feb 18 2006,92.5640,91.7880,93.2920,91.6040,,
Feb 19 2006,92.5680,91.8460,93.3840,91.7080,,
Feb 20 2006,92.5720,91.9040,93.4760,91.8120,,
Feb 21 2006,92.5800,92.0200,93.6600,92.0200,215.41K,0.02%
Feb 22 2006,93.6200,92.1600,95.0000,92.1600,203.17K,1.12%
Feb 23 2006,94.4800,94.1800,94.7300,92.9200,231.15K,0.92%
Feb 24 2006,94.8600,94.2600,95.0000,93.9500,147.81K,0.40%
Feb 25 2006,94.8600,94.4525,95.2850,93.9925,,
Feb 26 2006,94.8600,94.6450,95.5700,94.0350,,
Feb 27 2006,94.8600,95.0300,96.1400,94.1200,213.68K,0.00%
Feb 28 2006,91.6800,94.2700,95.0100,91.6700,227.05K,-3.35%
Mar 01 2006,98.7500,93.3700,99.5000,92.0400,776.29K,7.71%
Mar 02 2006,98.4500,98.4800,102.6900,97.4300,562.79K,-0.30%
Mar 03 2006,99.9800,97.9600,100.8000,97.3600,334.48K,1.55%
Mar 04 2006,99.6250,98.4700,100.8125,97.5825,,
Mar 05 2006,99.2700,98.9800,100.8250,97.8050,,
Mar 06 2006,98.5600,100.0000,100.8500,98.2500,303.01K,-1.42%
Mar 07 2006,98.0600,98.2600,98.7100,97.0300,376.33K,-0.51%
Mar 08 2006,98.1000,97.5000,99.2000,96.6300,218.34K,0.04%
Mar 09 2006,97.0500,97.3700,98.0000,97.0300,390.68K,-1.07%
Mar 10 2006,99.5000,97.0500,100.6600,96.0200,386.08K,2.52%
