Date,Price,Open,High,Low,Vol.,Change %
May 09 2006,5.0300,5.1800,5.2100,5.0300,56.17M,-3.08%
May 10 2006,4.9200,4.9700,5.0300,4.8700,75.91M,-2.19%
May 11 2006,4.7500,4.9700,5.0200,4.7100,120.74M,-3.46%
May 12 2006,4.3900,4.6300,4.6600,4.2900,156.82M,-7.58%
May 13 2006,4.4050,4.5675,4.6175,4.3025,,
May 14 2006,4.4200,4.5050,4.5750,4.3150,,
May 15 2006,4.4500,4.3800,4.4900,4.3400,55.35M,1.37%
May 16 2006,4.3400,4.4800,4.4800,4.3100,49.76M,-2.47%
May 17 2006,4.1600,4.3200,4.3500,4.0800,84.12M,-4.15%
May 18 2006,3.9700,4.1900,4.2300,3.9700,68.67M,-4.57%
May 19 2006,4.0600,4.0100,4.1500,3.9700,93.28M,2.27%
May 20 2006,4.0450,4.0150,4.1225,3.9500,,
May 21 2006,4.0300,4.0200,4.0950,3.9300,,
May 22 2006,4.0000,4.0300,4.0400,3.8900,73.49M,-1.48%
May 23 2006,3.9600,4.0800,4.1800,3.9400,53.24M,-1.00%
May 24 2006,4.0100,3.9900,4.1300,3.9000,57.97M,1.26%
May 25 2006,3.9900,4.0800,4.1400,3.9700,42.37M,-0.50%
May 26 2006,4.0000,4.0000,4.0300,3.9500,29.46M,0.25%
May 27 2006,3.9660,4.0000,4.0240,3.9260,,
May 28 2006,3.9320,4.0000,4.0180,3.9020,,
May 29 2006,3.8980,4.0000,4.0120,3.8780,,
May 30 2006,3.8300,4.0000,4.0000,3.8300,44.88M,-4.25%
May 31 2006,3.8300,3.8800,3.9200,3.8100,59.92M,0.00%
Jun 01 2006,4.0300,3.8700,4.0300,3.8100,53.73M,5.22%
Jun 02 2006,3.9700,4.1000,4.1200,3.9300,67.39M,-1.49%
Jun 03 2006,3.9300,4.0625,4.0950,3.8950,,
Jun 04 2006,3.8900,4.0250,4.0700,3.8600,,
Jun 05 2006,3.8100,3.9500,4.0200,3.7900,58.12M,-4.03%
Jun 06 2006,3.7000,3.8500,3.8600,3.6000,82.41M,-2.89%
Jun 07 2006,3.6400,3.7400,3.7500,3.6100,56.54M,-1.62%
Jun 08 2006,3.5700,3.6000,3.6400,3.4300,73.06M,-1.92%
Jun 09 2006,3.5600,3.6200,3.6800,3.5300,43.38M,-0.28%
Jun 10 2006,3.5100,3.5900,3.6450,3.4825,,
Jun 11 2006,3.4600,3.5600,3.6100,3.4350,,
Jun 12 2006,3.3600,3.5000,3.5400,3.3400,46.34M,-5.62%
Jun 13 2006,3.3100,3.3600,3.4300,3.2800,53.26M,-1.49%
Jun 14 2006,3.4100,3.3300,3.4200,3.3000,48.05M,3.02%
Jun 15 2006,3.7100,3.5300,3.7200,3.5000,83.73M,8.80%
Jun 16 2006,3.6100,3.6800,3.6900,3.5800,50.36M,-2.70%
Jun 17 2006,3.5825,3.6725,3.6850,3.5575,,
Jun 18 2006,3.5550,3.6650,3.6800,3.5350,,
Jun 19 2006,3.5000,3.6500,3.6700,3.4900,38.81M,-3.05%
Jun 20 2006,3.4500,3.4100,3.5300,3.3900,53.58M,-1.43%
