Date,Price,Open,High,Low,Vol.,Change %
May 05 2006,34.43,34.37,34.5,33.62,8.40M,1.41%
May 08 2006,33.95,34.05,34.42,33.9,5.86M,-1.39%
May 09 2006,34.16,33.69,34.28,33.3,9.07M,0.62%
May 10 2006,32.83,33.95,33.98,32.82,12.28M,-3.89%
May 11 2006,31.49,33.1,33.1,31.25,17.16M,-4.08%
May 12 2006,31.66,31.7,32.32,31.25,14.36M,0.54%
May 15 2006,31.12,31.6,32.39,30.67,11.95M,-1.71%
May 16 2006,30.81,30.9,30.96,29.68,17.91M,-1.00%
May 17 2006,30.77,30.9,31.49,30.69,12.71M,-0.13%
May 18 2006,31.35,30.94,31.41,30.45,24.10M,1.88%
May 19 2006,34.95,34.24,34.96,33.56,48.62M,11.48%
May 22 2006,33.18,34.45,34.75,32.44,22.73M,-5.06%
May 23 2006,31.79,33.72,34.0,31.74,16.16M,-4.19%
May 24 2006,31.18,31.9,32.86,30.58,20.78M,-1.92%
May 25 2006,30.97,31.51,31.51,30.25,19.44M,-0.67%
May 26 2006,31.63,31.19,31.95,30.8,9.68M,2.13%
May 30 2006,30.48,31.39,31.55,30.31,11.39M,-3.64%
May 31 2006,30.89,30.95,31.23,30.41,10.19M,1.35%
Jun 01 2006,31.39,31.05,31.43,30.45,14.44M,1.62%
Jun 02 2006,30.1,31.52,31.92,29.95,21.21M,-4.11%
Jun 05 2006,29.06,30.05,30.14,29.01,17.07M,-3.46%
Jun 06 2006,28.95,29.1,29.35,28.55,18.03M,-0.38%
Jun 07 2006,28.0,28.94,29.33,27.92,17.35M,-3.28%
Jun 08 2006,27.03,27.37,27.7,26.23,30.62M,-3.46%
Jun 09 2006,26.75,27.4,28.03,26.65,14.96M,-1.04%
Jun 12 2006,25.68,26.8,26.97,25.6,14.35M,-4.00%
Jun 13 2006,24.39,25.46,26.3,24.37,23.82M,-5.02%
Jun 14 2006,25.11,24.98,25.72,24.6,24.17M,2.95%
Jun 15 2006,26.11,25.4,26.3,25.35,14.07M,3.98%
Jun 16 2006,25.64,26.11,26.38,25.5,11.82M,-1.80%
Jun 19 2006,24.95,25.85,26.02,24.9,10.92M,-2.69%
Jun 20 2006,24.87,24.9,25.3,24.62,10.48M,-0.32%
Jun 21 2006,25.42,24.86,25.9,24.75,12.17M,2.21%
Jun 22 2006,25.37,25.41,25.89,25.06,11.47M,-0.20%
Jun 23 2006,25.14,25.75,25.79,25.13,9.20M,-0.91%
Jun 26 2006,24.66,25.3,25.38,24.37,11.92M,-1.91%
Jun 27 2006,24.26,24.66,24.66,23.46,19.71M,-1.62%
Jun 28 2006,23.89,24.33,24.46,23.7,12.02M,-1.53%
Jun 29 2006,24.81,24.1,24.88,23.86,11.13M,3.85%
Jun 30 2006,24.42,24.99,24.99,24.16,9.43M,-1.57%
Jul 03 2006,24.6,24.48,24.72,24.24,4.70M,0.74%
Jul 05 2006,23.9,24.31,24.43,23.83,11.45M,-2.85%
Jul 06 2006,23.83,24.07,24.39,23.66,12.59M,-0.29%
Jul 07 2006,23.56,22.81,23.8,22.45,28.94M,-1.13%
Jul 10 2006,22.51,23.71,23.91,22.33,15.46M,-4.46%
Jul 11 2006,22.98,22.35,23.08,22.02,14.59M,2.09%
Jul 12 2006,22.84,22.9,23.08,22.45,17.81M,-0.61%
Jul 13 2006,22.13,22.73,23.24,22.1,18.83M,-3.11%
Jul 14 2006,21.6,22.08,22.3,21.23,13.54M,-2.39%
Jul 17 2006,20.92,21.35,21.78,20.79,15.54M,-3.15%
Jul 18 2006,20.55,20.71,21.19,20.08,16.59M,-1.77%
Jul 19 2006,21.46,20.78,21.66,20.38,18.32M,4.43%
Jul 20 2006,21.65,21.9,22.1,21.16,31.08M,0.89%
Jul 21 2006,18.26,19.78,19.8,18.23,41.37M,-15.66%
Jul 24 2006,17.39,17.62,17.73,16.9,57.35M,-4.76%
Jul 25 2006,17.8,17.48,18.05,17.18,27.14M,2.36%
Jul 26 2006,18.25,17.88,18.5,17.57,20.00M,2.53%
Jul 27 2006,18.06,18.3,18.62,18.01,19.52M,-1.04%
Jul 28 2006,19.1,18.0,19.1,17.88,20.62M,5.76%
Jul 31 2006,19.39,19.28,19.65,19.05,17.26M,1.52%
Aug 01 2006,19.1,19.65,19.73,18.84,22.48M,-1.50%
Aug 02 2006,19.6,19.26,20.03,19.26,17.21M,2.62%
Aug 03 2006,20.45,19.46,20.74,19.44,20.87M,4.34%
Aug 04 2006,20.47,20.88,21.2,20.12,20.49M,0.10%
Aug 07 2006,20.22,20.28,20.85,20.1,13.93M,-1.22%
Aug 08 2006,20.12,20.28,20.69,19.95,15.64M,-0.49%
Aug 09 2006,19.85,20.5,20.59,19.75,15.28M,-1.34%
Aug 10 2006,20.01,19.77,20.19,19.6,10.92M,0.81%
Aug 11 2006,19.78,19.93,20.0,19.37,12.44M,-1.15%
Aug 14 2006,19.87,19.93,20.34,19.59,14.51M,0.46%
Aug 15 2006,20.87,20.35,20.93,20.18,16.43M,5.03%
Aug 16 2006,22.57,21.25,22.68,20.89,24.68M,8.15%
Aug 17 2006,24.2,23.16,24.76,23.11,49.28M,7.22%
Aug 18 2006,23.93,23.49,24.16,22.52,36.29M,-1.12%
Aug 21 2006,23.4,23.67,23.71,23.29,16.75M,-2.21%
Aug 22 2006,24.88,23.9,25.22,23.5,39.58M,6.32%
Aug 23 2006,24.9,25.19,25.72,24.75,23.53M,0.08%
Aug 24 2006,24.76,25.2,25.31,24.61,15.50M,-0.56%
Aug 25 2006,24.56,24.69,24.96,24.32,11.91M,-0.81%
Aug 28 2006,23.92,24.54,24.84,23.85,17.50M,-2.61%
Aug 29 2006,24.4,23.95,24.44,23.7,17.46M,2.01%
Aug 30 2006,25.03,24.54,25.16,24.45,14.57M,2.58%
Aug 31 2006,24.99,25.21,25.25,24.68,11.16M,-0.16%
Sep 01 2006,24.66,25.25,25.25,24.51,11.21M,-1.32%
Sep 05 2006,26.22,25.2,26.23,24.84,22.19M,6.33%
Sep 06 2006,24.53,25.85,26.14,24.51,21.07M,-6.45%
Sep 07 2006,24.59,23.89,25.01,23.72,31.47M,0.24%
