Date,Price,Open,High,Low,Vol.,Change %
Jan 18 2006,9.16,9.27,9.27,9.0,1.40M,-1.29%
Jan 19 2006,9.49,9.14,9.56,8.8,3.31M,3.60%
Jan 20 2006,9.26,9.6,9.68,9.25,2.31M,-2.42%
Jan 23 2006,9.55,9.26,9.56,9.23,1.74M,3.13%
Jan 24 2006,10.56,9.55,10.68,9.38,5.62M,10.58%
Jan 25 2006,10.6,10.7,11.03,10.03,7.02M,0.38%
Jan 26 2006,10.49,10.65,10.83,10.44,2.42M,-1.04%
Jan 27 2006,10.2,10.01,10.52,9.71,6.93M,-2.76%
Jan 30 2006,9.82,10.05,10.24,9.66,2.97M,-3.73%
Jan 31 2006,10.16,9.82,10.2,9.21,6.56M,3.46%
Feb 01 2006,11.13,10.5,11.4,10.38,7.18M,9.55%
Feb 02 2006,11.04,11.08,11.6,10.61,10.59M,-0.81%
Feb 03 2006,11.1,11.24,11.68,11.06,5.80M,0.54%
Feb 06 2006,11.14,11.46,11.46,10.94,3.96M,0.36%
Feb 07 2006,10.69,11.11,11.23,10.28,3.58M,-4.04%
Feb 08 2006,10.7,10.9,10.96,10.52,1.95M,0.09%
Feb 09 2006,10.6,10.75,10.87,10.56,2.13M,-0.93%
Feb 10 2006,10.35,10.65,10.65,9.79,3.58M,-2.36%
Feb 13 2006,10.55,10.2,10.73,10.2,1.66M,1.93%
Feb 14 2006,10.4,10.55,10.6,10.34,1.48M,-1.42%
Feb 15 2006,10.4,10.4,10.46,10.32,882.00K,0.00%
Feb 16 2006,10.31,10.45,10.47,10.22,848.00K,-0.87%
Feb 17 2006,10.27,10.35,10.39,10.03,1.63M,-0.39%
Feb 21 2006,9.93,10.27,10.28,9.75,2.39M,-3.31%
Feb 22 2006,9.85,9.83,9.97,9.63,3.32M,-0.81%
Feb 23 2006,9.98,10.04,10.38,9.8,7.78M,1.32%
Feb 24 2006,10.9,10.36,11.15,10.36,11.02M,9.22%
Feb 27 2006,11.37,11.0,11.44,10.86,4.82M,4.31%
Feb 28 2006,10.95,11.32,11.58,10.81,4.04M,-3.69%
Mar 01 2006,11.35,11.0,11.37,11.0,3.08M,3.65%
Mar 02 2006,11.87,11.32,11.88,11.16,4.25M,4.58%
Mar 03 2006,12.12,12.1,12.59,12.0,6.88M,2.11%
Mar 06 2006,12.26,12.3,12.6,12.01,4.60M,1.16%
Mar 07 2006,12.0,12.26,12.26,11.83,3.19M,-2.12%
Mar 08 2006,11.84,12.2,12.2,11.75,5.13M,-1.33%
Mar 09 2006,12.8,11.89,12.9,11.89,5.45M,8.11%
Mar 10 2006,13.43,12.8,13.48,12.54,7.09M,4.92%
Mar 13 2006,14.26,13.65,14.3,13.48,9.42M,6.18%
Mar 14 2006,13.72,14.3,14.44,13.61,9.25M,-3.79%
Mar 15 2006,13.86,13.75,14.22,13.5,5.50M,1.02%
Mar 16 2006,13.36,13.86,14.04,13.02,7.09M,-3.61%
Mar 17 2006,13.62,13.36,13.68,12.88,5.98M,1.95%
Mar 20 2006,14.23,13.81,14.23,13.81,5.58M,4.48%
Mar 21 2006,14.05,14.34,14.72,13.92,6.88M,-1.26%
Mar 22 2006,13.6,13.71,13.81,13.13,6.84M,-3.20%
Mar 23 2006,13.41,13.55,13.86,13.26,2.94M,-1.40%
Mar 24 2006,13.44,13.2,13.66,13.15,2.11M,0.22%
Mar 27 2006,13.97,13.57,14.14,13.45,5.24M,3.94%
Mar 28 2006,13.72,13.97,14.15,13.54,3.08M,-1.79%
Mar 29 2006,13.55,13.72,13.94,13.5,1.98M,-1.24%
Mar 30 2006,14.26,13.9,14.36,13.85,5.51M,5.24%
Mar 31 2006,13.81,14.35,14.63,13.46,9.69M,-3.16%
Apr 03 2006,12.62,13.99,14.02,12.43,10.27M,-8.62%
Apr 04 2006,13.0,12.81,13.24,12.12,9.97M,3.01%
Apr 05 2006,12.57,13.15,13.18,12.38,9.14M,-3.31%
Apr 06 2006,11.96,12.57,12.89,11.75,12.85M,-4.85%
Apr 07 2006,10.6,11.6,11.6,10.47,24.52M,-11.37%
Apr 10 2006,10.91,10.65,10.98,10.52,7.96M,2.92%
Apr 11 2006,11.32,10.97,11.35,10.93,9.02M,3.76%
Apr 12 2006,11.53,11.37,11.57,10.91,7.03M,1.86%
Apr 13 2006,11.75,11.53,11.84,11.32,4.79M,1.91%
Apr 17 2006,11.57,11.85,11.99,11.5,4.06M,-1.53%
Apr 18 2006,13.23,11.8,13.28,11.78,13.19M,14.35%
Apr 19 2006,13.86,13.25,13.91,12.88,11.67M,4.76%
Apr 20 2006,14.0,13.91,14.08,13.46,8.07M,1.01%
Apr 21 2006,13.8,14.0,14.1,13.68,4.93M,-1.43%
Apr 24 2006,13.45,13.62,13.68,13.35,6.14M,-2.54%
Apr 25 2006,13.96,13.3,13.96,13.27,5.17M,3.79%
Apr 26 2006,14.06,13.95,14.1,13.72,4.12M,0.72%
Apr 27 2006,14.32,13.96,14.55,13.66,4.16M,1.85%
Apr 28 2006,14.26,14.2,14.47,14.12,4.77M,-0.42%
May 01 2006,13.39,14.26,14.26,13.16,7.72M,-6.10%
May 02 2006,13.54,13.89,13.9,13.11,7.21M,1.12%
May 03 2006,14.03,13.5,14.14,13.46,3.03M,3.62%
May 04 2006,13.8,13.98,14.04,13.8,3.58M,-1.64%
May 05 2006,14.84,13.8,15.0,13.7,8.05M,7.54%
May 08 2006,15.77,14.9,15.91,14.61,9.14M,6.27%
May 09 2006,15.44,15.61,16.11,15.4,6.70M,-2.09%
May 10 2006,15.56,15.4,15.92,15.15,3.87M,0.78%
May 11 2006,15.83,15.8,16.48,15.42,6.00M,1.74%
May 12 2006,15.12,15.88,15.88,15.02,4.22M,-4.49%
May 15 2006,15.28,14.99,15.56,14.82,5.01M,1.06%
May 16 2006,15.16,15.29,15.44,14.87,2.75M,-0.79%
May 17 2006,14.0,15.0,15.01,13.84,8.27M,-7.65%
May 18 2006,13.59,14.05,14.43,13.35,7.90M,-2.93%
May 19 2006,14.0,13.79,14.17,13.38,6.73M,3.02%
May 22 2006,11.93,13.59,13.59,11.45,24.05M,-14.79%
May 23 2006,11.79,12.13,12.38,11.79,11.62M,-1.17%
May 24 2006,10.86,11.82,11.88,10.64,12.53M,-7.89%
May 25 2006,11.2,11.0,11.28,10.48,10.51M,3.13%
May 26 2006,11.49,11.42,11.55,11.14,6.74M,2.59%
May 30 2006,10.63,11.41,11.41,10.58,6.34M,-7.48%
May 31 2006,11.14,10.72,11.16,10.7,8.71M,4.80%
Jun 01 2006,11.15,11.05,11.27,10.63,7.57M,0.09%
Jun 02 2006,10.95,11.34,11.45,10.77,6.61M,-1.79%
Jun 05 2006,10.32,11.18,11.25,10.28,8.16M,-5.75%
Jun 06 2006,10.07,10.32,10.44,9.71,7.58M,-2.42%
Jun 07 2006,10.14,10.1,10.36,9.87,4.88M,0.70%
Jun 08 2006,9.99,9.95,10.2,9.14,8.56M,-1.48%
Jun 09 2006,10.17,10.25,10.37,10.04,5.13M,1.80%
Jun 12 2006,9.8,10.22,10.28,9.76,5.65M,-3.64%
Jun 13 2006,9.2,9.8,10.04,9.2,5.02M,-6.12%
Jun 14 2006,9.4,9.24,9.49,9.05,4.73M,2.17%
Jun 15 2006,9.8,9.5,10.0,9.46,5.05M,4.26%
