Date,Price,Open,High,Low,Vol.,Change %
Dec 13 2004,2148.5,2141.2,2148.5,2132.19,,0.96%
Dec 14 2004,2159.84,2145.05,2163.5,2145.05,,0.53%
Dec 15 2004,2162.55,2159.68,2171.27,2151.31,,0.13%
Dec 16 2004,2146.15,2159.96,2164.8,2138.81,,-0.76%
Dec 17 2004,2135.2,2142.71,2150.85,2135.05,,-0.51%
Dec 20 2004,2127.85,2142.21,2154.48,2124.22,,-0.34%
Dec 21 2004,2150.91,2134.75,2151.71,2133.34,,1.08%
Dec 22 2004,2157.03,2145.99,2163.48,2145.18,,0.28%
Dec 23 2004,2160.62,2153.31,2168.78,2153.31,,0.17%
Dec 27 2004,2154.22,2168.82,2171.94,2147.59,,-0.30%
Dec 28 2004,2177.19,2156.75,2177.19,2156.53,,1.07%
Dec 29 2004,2177.0,2170.99,2182.33,2170.99,,-0.01%
Dec 30 2004,2178.34,2177.47,2182.37,2176.4,,0.06%
Dec 31 2004,2175.44,2178.98,2185.56,2174.63,,-0.13%
Jan 03 2005,2152.15,2184.75,2191.6,2148.72,,-1.07%
Jan 04 2005,2107.86,2158.31,2159.64,2100.56,,-2.06%
Jan 05 2005,2091.24,2102.9,2116.75,2091.24,,-0.79%
Jan 06 2005,2090.0,2098.51,2103.9,2088.03,,-0.06%
Jan 07 2005,2088.61,2099.95,2103.39,2076.69,,-0.07%
Jan 10 2005,2097.04,2087.62,2111.43,2086.66,,0.40%
Jan 11 2005,2079.62,2089.07,2090.62,2072.62,,-0.83%
Jan 12 2005,2092.53,2089.7,2093.44,2066.79,,0.62%
Jan 13 2005,2070.56,2093.54,2094.8,2067.94,,-1.05%
Jan 14 2005,2087.91,2079.47,2088.58,2075.47,,0.84%
Jan 18 2005,2106.04,2081.86,2106.19,2078.04,,0.87%
Jan 19 2005,2073.59,2105.74,2105.84,2072.2,,-1.54%
Jan 20 2005,2045.88,2056.38,2065.59,2045.88,,-1.34%
Jan 21 2005,2034.27,2053.15,2058.0,2032.88,,-0.57%
Jan 24 2005,2008.7,2040.13,2043.97,2008.68,,-1.26%
Jan 25 2005,2019.95,2022.08,2037.18,2017.58,,0.56%
Jan 26 2005,2046.09,2034.69,2049.34,2028.19,,1.29%
Jan 27 2005,2047.15,2042.77,2053.94,2036.09,,0.05%
Jan 28 2005,2035.83,2052.54,2055.13,2024.36,,-0.55%
Jan 31 2005,2062.41,2053.47,2063.18,2053.47,,1.31%
Feb 01 2005,2068.7,2063.27,2071.52,2058.66,,0.30%
Feb 02 2005,2075.06,2074.06,2079.58,2064.2,,0.31%
Feb 03 2005,2057.64,2065.44,2066.93,2049.25,,-0.84%
Feb 04 2005,2086.66,2056.47,2086.72,2056.29,,1.41%
Feb 07 2005,2082.03,2086.55,2091.17,2075.41,,-0.22%
Feb 08 2005,2086.68,2082.11,2095.64,2080.42,,0.22%
Feb 09 2005,2052.55,2088.52,2089.38,2051.0,,-1.64%
Feb 10 2005,2053.1,2058.53,2059.65,2040.04,,0.03%
Feb 11 2005,2076.66,2048.96,2081.48,2039.72,,1.15%
Feb 14 2005,2082.91,2076.75,2085.12,2074.81,,0.30%
Feb 15 2005,2089.21,2083.64,2103.45,2081.46,,0.30%
Feb 16 2005,2087.43,2082.46,2093.37,2079.37,,-0.09%
Feb 17 2005,2061.34,2088.67,2093.68,2061.34,,-1.25%
Feb 18 2005,2058.62,2065.15,2068.89,2056.2,,-0.13%
Feb 22 2005,2030.32,2046.18,2064.67,2030.17,,-1.37%
Feb 23 2005,2031.25,2039.55,2040.84,2024.64,,0.05%
Feb 24 2005,2051.7,2028.43,2051.81,2023.0,,1.01%
Feb 25 2005,2065.4,2050.49,2065.4,2047.23,,0.67%
Feb 28 2005,2051.72,2058.28,2066.53,2038.77,,-0.66%
Mar 01 2005,2071.25,2057.47,2073.74,2057.19,,0.95%
Mar 02 2005,2067.5,2060.3,2084.15,2057.22,,-0.18%
Mar 03 2005,2058.4,2073.33,2074.71,2047.92,,-0.44%
