Date,Price,Open,High,Low,Vol.,Change %
Jan 06 2006,94.52,89.91,96.33,89.3,1.12M,7.76%
Jan 09 2006,96.5,93.61,99.98,93.4,718.84K,2.09%
Jan 10 2006,94.43,93.38,95.6,93.26,415.90K,-2.15%
Jan 11 2006,95.45,95.0,99.64,94.11,591.17K,1.08%
Jan 12 2006,93.58,92.69,95.5,92.25,423.11K,-1.96%
Jan 13 2006,95.63,93.99,96.45,93.13,277.35K,2.19%
Jan 17 2006,94.99,95.0,96.84,94.62,265.90K,-0.67%
Jan 18 2006,94.24,93.53,95.45,93.18,279.72K,-0.79%
Jan 19 2006,95.46,94.5,96.0,94.5,227.78K,1.29%
Jan 20 2006,93.24,95.95,95.95,93.16,385.69K,-2.33%
Jan 23 2006,91.95,93.5,94.46,87.6,887.89K,-1.38%
Jan 24 2006,91.59,91.78,93.56,90.88,340.85K,-0.39%
Jan 25 2006,94.43,92.61,95.27,92.61,334.49K,3.10%
Jan 26 2006,95.7,94.75,96.7,93.47,215.24K,1.34%
Jan 27 2006,97.94,95.7,98.5,95.7,331.52K,2.34%
Jan 30 2006,99.54,98.68,101.99,98.57,509.51K,1.63%
Jan 31 2006,96.11,98.62,99.54,95.22,679.14K,-3.45%
Feb 01 2006,91.5,91.58,94.12,90.11,1.23M,-4.80%
Feb 02 2006,91.63,91.49,93.12,90.52,484.12K,0.14%
Feb 03 2006,93.18,91.55,94.25,91.1,294.93K,1.69%
Feb 06 2006,93.57,93.13,93.98,92.57,192.02K,0.42%
Feb 07 2006,93.39,93.15,94.42,92.03,321.71K,-0.19%
Feb 08 2006,92.97,93.86,94.35,92.48,214.21K,-0.45%
Feb 09 2006,93.0,93.0,94.46,92.85,166.17K,0.03%
Feb 10 2006,92.36,92.75,93.24,90.94,260.95K,-0.69%
Feb 13 2006,90.51,91.88,92.22,89.66,238.39K,-2.00%
Feb 14 2006,91.23,90.91,92.04,90.2,362.62K,0.80%
Feb 15 2006,90.84,90.97,92.08,90.46,258.22K,-0.43%
Feb 16 2006,92.41,90.8,92.98,90.2,265.70K,1.73%
Feb 17 2006,92.56,91.73,93.2,91.5,255.16K,0.16%
Feb 21 2006,92.58,92.02,93.66,92.02,215.41K,0.02%
Feb 22 2006,93.62,92.16,95.0,92.16,203.17K,1.12%
Feb 23 2006,94.48,94.18,94.73,92.92,231.15K,0.92%
Feb 24 2006,94.86,94.26,95.0,93.95,147.81K,0.40%
Feb 27 2006,94.86,95.03,96.14,94.12,213.68K,0.00%
Feb 28 2006,91.68,94.27,95.01,91.67,227.05K,-3.35%
Mar 01 2006,98.75,93.37,99.5,92.04,776.29K,7.71%
Mar 02 2006,98.45,98.48,102.69,97.43,562.79K,-0.30%
Mar 03 2006,99.98,97.96,100.8,97.36,334.48K,1.55%
Mar 06 2006,98.56,100.0,100.85,98.25,303.01K,-1.42%
Mar 07 2006,98.06,98.26,98.71,97.03,376.33K,-0.51%
Mar 08 2006,98.1,97.5,99.2,96.63,218.34K,0.04%
Mar 09 2006,97.05,97.37,98.0,97.03,390.68K,-1.07%
Mar 10 2006,99.5,97.05,100.66,96.02,386.08K,2.52%
Mar 13 2006,103.02,99.67,103.71,99.67,382.36K,3.54%
Mar 14 2006,106.5,103.62,106.75,102.78,412.54K,3.38%
Mar 15 2006,107.58,106.56,107.7,105.27,321.81K,1.01%
Mar 16 2006,104.88,107.7,109.0,104.68,247.71K,-2.51%
Mar 17 2006,106.55,105.3,107.14,104.48,416.95K,1.59%
Mar 20 2006,105.74,106.96,107.33,105.58,205.92K,-0.76%
Mar 21 2006,103.63,106.01,106.87,103.48,355.57K,-2.00%
Mar 22 2006,104.63,103.39,105.53,103.28,191.27K,0.96%
Mar 23 2006,105.21,104.36,105.85,104.36,180.49K,0.55%
Mar 24 2006,104.63,105.62,105.63,103.7,205.77K,-0.55%
Mar 27 2006,104.61,104.97,106.17,104.2,216.86K,-0.02%
Mar 28 2006,104.04,105.21,106.01,103.89,248.50K,-0.54%
Mar 29 2006,105.76,103.9,106.93,103.61,320.56K,1.65%
Mar 30 2006,105.12,105.15,107.28,104.86,167.61K,-0.61%
Mar 31 2006,105.29,105.06,105.91,104.07,179.69K,0.16%
Apr 03 2006,104.48,106.03,106.3,104.24,321.55K,-0.77%
Apr 04 2006,105.11,104.29,105.68,104.29,208.96K,0.60%
Apr 05 2006,105.09,105.75,106.0,104.55,188.68K,-0.02%
Apr 06 2006,105.77,104.9,106.05,104.72,169.00K,0.65%
Apr 07 2006,104.25,106.2,108.4,103.83,227.56K,-1.44%
Apr 10 2006,105.0,103.63,106.2,103.63,205.16K,0.72%
Apr 11 2006,104.45,105.53,106.73,104.15,126.02K,-0.52%
Apr 12 2006,103.36,104.06,104.98,102.76,292.22K,-1.04%
Apr 13 2006,102.72,103.11,104.27,102.1,314.41K,-0.62%
Apr 17 2006,103.05,104.03,104.45,102.2,405.92K,0.32%
Apr 18 2006,103.18,102.96,104.3,102.59,353.56K,0.13%
Apr 19 2006,106.1,103.68,106.37,103.43,317.31K,2.83%
Apr 20 2006,106.18,105.9,107.64,105.15,188.46K,0.08%
Apr 21 2006,106.46,107.11,107.8,104.1,383.13K,0.26%
Apr 24 2006,105.78,106.17,107.43,105.1,266.52K,-0.64%
Apr 25 2006,108.11,106.22,109.5,105.65,294.85K,2.20%
Apr 26 2006,105.57,108.82,108.96,105.37,319.92K,-2.35%
Apr 27 2006,101.2,105.73,105.73,100.47,478.33K,-4.14%
Apr 28 2006,93.74,96.86,98.0,93.31,872.15K,-7.37%
May 01 2006,98.53,93.74,100.73,93.74,684.72K,5.11%
May 02 2006,100.15,98.62,100.37,98.31,346.53K,1.64%
May 03 2006,101.1,100.61,101.49,98.1,396.30K,0.95%
May 04 2006,103.05,101.0,103.7,100.12,410.05K,1.93%
May 05 2006,105.81,103.6,106.4,103.53,297.12K,2.68%
May 08 2006,107.11,105.81,107.16,104.53,317.20K,1.23%
May 09 2006,107.16,106.42,107.87,105.79,258.37K,0.05%
May 10 2006,107.42,107.28,109.19,106.56,268.58K,0.24%
May 11 2006,105.24,107.42,109.0,104.65,347.97K,-2.03%
May 12 2006,103.24,104.72,104.92,102.61,226.61K,-1.90%
May 15 2006,105.0,102.9,105.22,101.82,395.61K,1.70%
May 16 2006,103.5,105.31,105.98,103.05,255.33K,-1.43%
May 17 2006,101.0,103.0,103.0,100.39,310.87K,-2.42%
May 18 2006,98.72,100.82,102.84,98.37,306.86K,-2.26%
May 19 2006,97.03,98.36,99.62,95.68,464.66K,-1.71%
May 22 2006,93.77,97.01,97.01,93.1,461.93K,-3.36%
May 23 2006,93.45,94.61,97.0,93.18,445.08K,-0.34%
May 24 2006,94.85,93.45,95.95,91.52,396.33K,1.50%
May 25 2006,97.18,94.9,97.49,94.9,301.13K,2.46%
May 26 2006,95.85,97.1,97.85,95.04,172.75K,-1.37%
May 30 2006,92.3,95.24,96.0,92.3,295.57K,-3.70%
May 31 2006,94.38,92.82,95.35,92.09,347.83K,2.25%
Jun 01 2006,95.17,94.76,95.36,93.22,286.36K,0.84%
Jun 02 2006,95.84,94.57,96.6,94.57,242.53K,0.70%
Jun 05 2006,91.58,95.43,96.07,91.5,369.79K,-4.44%
Jun 06 2006,91.36,92.14,92.16,89.27,347.24K,-0.24%
Jun 07 2006,90.59,91.18,94.15,90.4,404.22K,-0.84%
Jun 08 2006,91.72,90.5,92.46,88.64,408.27K,1.25%
Jun 09 2006,89.61,92.19,93.4,88.25,388.79K,-2.30%
Jun 12 2006,86.6,89.7,90.07,86.5,457.22K,-3.36%
Jun 13 2006,86.52,86.54,88.68,86.1,485.12K,-0.09%
Jun 14 2006,87.54,86.51,88.61,86.3,245.69K,1.18%
Jun 15 2006,92.7,88.63,93.29,88.17,410.81K,5.89%
Jun 16 2006,93.62,92.7,93.9,90.17,626.24K,0.99%
Jun 19 2006,92.75,94.15,95.09,92.29,493.84K,-0.93%
Jun 20 2006,91.02,92.46,93.04,91.0,239.01K,-1.87%
Jun 21 2006,94.1,90.94,95.01,90.94,337.62K,3.38%
Jun 22 2006,93.05,93.82,94.85,92.0,329.61K,-1.12%
Jun 23 2006,92.85,92.68,95.25,92.14,246.27K,-0.21%
Jun 26 2006,94.05,93.3,94.66,92.8,217.81K,1.29%
Jun 27 2006,92.19,94.25,94.57,91.96,218.41K,-1.98%
Jun 28 2006,93.32,92.19,94.79,91.43,224.33K,1.23%
Jun 29 2006,94.88,93.94,95.0,92.03,399.59K,1.67%
Jun 30 2006,97.52,95.3,97.83,93.12,619.40K,2.78%
Jul 03 2006,98.65,97.0,98.98,97.0,129.60K,1.16%
Jul 05 2006,96.53,97.54,99.33,96.39,378.52K,-2.15%
Jul 06 2006,93.61,96.72,97.21,92.76,432.87K,-3.02%
Jul 07 2006,87.27,92.26,92.26,86.61,867.10K,-6.77%
Jul 10 2006,83.66,87.25,88.5,82.61,732.61K,-4.14%
Jul 11 2006,84.18,83.22,84.5,82.5,582.52K,0.62%
Jul 12 2006,83.49,83.83,85.83,83.09,413.85K,-0.82%
Jul 13 2006,83.22,82.34,85.5,81.37,559.69K,-0.32%
Jul 14 2006,81.09,83.66,83.82,79.6,542.40K,-2.56%
Jul 17 2006,79.12,81.2,83.15,78.6,534.23K,-2.43%
Jul 18 2006,79.51,79.52,81.35,78.12,515.56K,0.49%
Jul 19 2006,79.82,79.04,80.55,79.04,630.56K,0.39%
Jul 20 2006,78.72,80.15,80.51,78.5,273.02K,-1.38%
Jul 21 2006,79.14,78.46,79.59,78.17,554.68K,0.53%
Jul 24 2006,80.55,79.2,80.85,77.62,461.38K,1.78%
Jul 25 2006,82.9,80.44,83.25,80.21,480.28K,2.92%
Jul 26 2006,82.99,82.5,84.29,80.46,425.59K,0.11%
Jul 27 2006,79.75,83.77,84.94,78.02,574.73K,-3.90%
Jul 28 2006,84.83,75.38,86.11,75.0,1.01M,6.37%
Jul 31 2006,82.45,84.15,84.59,82.36,813.01K,-2.81%
Aug 01 2006,81.76,82.26,82.26,80.28,475.04K,-0.84%
Aug 02 2006,85.93,82.14,85.93,82.14,581.86K,5.10%
Aug 03 2006,87.27,85.61,88.53,84.3,524.57K,1.56%
Aug 04 2006,86.74,88.45,89.32,85.66,529.49K,-0.61%
Aug 07 2006,86.44,86.35,87.49,85.42,188.61K,-0.35%
Aug 08 2006,87.14,86.6,88.25,86.17,417.55K,0.81%
Aug 09 2006,88.04,87.85,89.3,87.32,465.87K,1.03%
Aug 10 2006,91.05,87.65,92.05,87.65,589.48K,3.42%
Aug 11 2006,90.69,90.66,91.06,89.03,276.36K,-0.40%
Aug 14 2006,85.89,88.11,88.45,85.1,757.33K,-5.29%
Aug 15 2006,87.76,86.5,88.25,85.9,500.60K,2.18%
Aug 16 2006,90.08,88.94,90.54,87.35,403.36K,2.64%
Aug 17 2006,91.3,89.74,92.74,89.36,407.31K,1.35%
Aug 18 2006,93.18,91.76,93.35,89.66,443.10K,2.06%
Aug 21 2006,91.1,92.49,93.66,90.75,288.30K,-2.23%
Aug 22 2006,91.86,90.77,92.96,90.76,353.14K,0.83%
Aug 23 2006,90.85,92.26,92.66,89.95,250.03K,-1.10%
Aug 24 2006,90.98,90.88,91.72,90.0,238.10K,0.14%
Aug 25 2006,90.05,90.53,91.1,89.46,235.38K,-1.02%
Aug 28 2006,91.37,89.88,91.79,89.88,255.32K,1.47%
Aug 29 2006,91.54,91.36,91.62,89.38,337.56K,0.19%
Aug 30 2006,91.81,91.87,92.25,90.86,182.79K,0.29%
Aug 31 2006,91.2,91.52,92.18,90.98,165.93K,-0.66%
Sep 01 2006,91.61,91.25,92.05,91.11,120.80K,0.45%
Sep 05 2006,92.78,92.03,93.41,91.05,182.36K,1.28%
Sep 06 2006,90.98,91.52,92.35,90.7,209.10K,-1.94%
Sep 07 2006,89.44,90.49,90.57,88.5,240.23K,-1.69%
Sep 08 2006,90.71,89.15,91.25,89.15,154.49K,1.42%
Sep 11 2006,92.68,90.48,92.87,89.43,290.60K,2.17%
Sep 12 2006,94.31,93.09,95.09,92.02,325.05K,1.76%
Sep 13 2006,93.84,94.62,95.0,93.36,270.90K,-0.50%
Sep 14 2006,95.75,94.08,95.75,93.69,200.69K,2.04%
Sep 15 2006,95.89,96.44,97.9,95.4,326.06K,0.15%
Sep 18 2006,95.9,95.5,97.39,95.0,264.44K,0.01%
Sep 19 2006,95.72,96.33,96.63,94.33,308.10K,-0.19%
Sep 20 2006,98.67,96.83,100.38,96.67,348.50K,3.08%
Sep 21 2006,96.9,98.72,99.35,96.7,180.41K,-1.79%
Sep 22 2006,96.11,96.93,97.17,95.08,156.74K,-0.82%
Sep 25 2006,98.1,96.53,99.0,95.83,202.44K,2.07%
Sep 26 2006,99.13,97.86,99.66,97.48,242.01K,1.05%
Sep 27 2006,100.73,98.71,102.0,98.39,291.59K,1.61%
Sep 28 2006,99.85,100.44,101.07,98.55,252.08K,-0.87%
Sep 29 2006,101.83,100.18,102.5,99.46,256.51K,1.98%
Oct 02 2006,99.93,101.32,101.79,99.35,222.07K,-1.87%
Oct 03 2006,100.71,99.59,102.17,98.75,187.78K,0.78%
Oct 04 2006,104.13,100.72,105.11,100.11,243.06K,3.40%
Oct 05 2006,104.24,103.78,104.78,102.92,184.01K,0.11%
Oct 06 2006,104.79,104.19,105.22,103.27,336.85K,0.53%
Oct 09 2006,106.35,104.18,106.7,103.48,252.74K,1.49%
Oct 10 2006,107.81,108.33,108.7,107.0,483.60K,1.37%
Oct 11 2006,108.21,107.07,109.13,106.81,308.84K,0.37%
Oct 12 2006,109.11,108.9,109.34,107.73,236.99K,0.83%
Oct 13 2006,110.01,108.61,110.2,108.29,221.46K,0.82%
Oct 16 2006,110.43,110.37,111.43,109.52,249.12K,0.38%
Oct 17 2006,109.58,110.02,110.11,107.45,253.73K,-0.77%
Oct 18 2006,109.42,109.64,110.98,108.55,192.91K,-0.15%
Oct 19 2006,110.17,109.34,110.73,108.33,229.62K,0.69%
Oct 20 2006,110.77,110.58,111.17,108.56,295.98K,0.54%
Oct 23 2006,111.15,110.61,112.0,109.0,189.75K,0.34%
Oct 24 2006,109.72,111.09,111.41,109.4,185.50K,-1.29%
Oct 25 2006,110.72,109.72,111.01,109.46,292.60K,0.91%
Oct 26 2006,115.55,111.15,116.0,109.91,353.94K,4.36%
Oct 27 2006,120.19,115.0,122.32,114.6,659.70K,4.02%
Oct 30 2006,119.11,120.18,120.39,117.24,306.47K,-0.90%
Oct 31 2006,119.35,118.87,120.99,118.68,340.09K,0.20%
Nov 01 2006,117.48,118.54,121.01,116.9,275.10K,-1.57%
Nov 02 2006,119.39,117.25,119.44,116.63,202.57K,1.63%
Nov 03 2006,118.91,119.33,120.0,117.0,257.65K,-0.40%
Nov 06 2006,118.6,119.34,119.61,118.27,203.91K,-0.26%
Nov 07 2006,119.29,118.95,120.79,118.19,313.84K,0.58%
Nov 08 2006,119.79,118.25,121.59,118.0,265.72K,0.42%
Nov 09 2006,118.7,120.38,120.89,117.72,335.58K,-0.91%
Nov 10 2006,125.02,119.0,125.08,118.7,752.22K,5.32%
Nov 13 2006,127.6,125.17,127.82,124.9,468.50K,2.06%
Nov 14 2006,129.16,127.57,129.3,126.26,322.76K,1.22%
Nov 15 2006,127.66,129.33,129.88,127.03,215.46K,-1.16%
Nov 16 2006,124.76,127.91,128.96,123.25,543.23K,-2.27%
Nov 17 2006,124.89,124.7,125.32,123.06,302.35K,0.10%
Nov 20 2006,124.34,124.32,125.64,123.22,347.98K,-0.44%
Nov 21 2006,126.5,124.07,127.09,124.07,224.46K,1.74%
Nov 22 2006,126.26,126.5,128.04,125.61,105.24K,-0.19%
Nov 24 2006,125.96,125.0,126.59,124.42,50.73K,-0.24%
Nov 27 2006,120.87,125.2,125.33,120.33,368.19K,-4.04%
Nov 28 2006,121.36,121.33,122.68,118.75,315.97K,0.41%
Nov 29 2006,119.68,122.68,122.68,118.88,311.56K,-1.38%
Nov 30 2006,118.47,119.68,120.33,117.27,388.50K,-1.01%
Dec 01 2006,119.06,118.22,119.58,117.01,233.19K,0.50%
Dec 04 2006,122.62,119.0,122.95,119.0,215.05K,2.99%
Dec 05 2006,121.82,122.64,123.31,121.5,167.15K,-0.65%
Dec 06 2006,120.31,120.78,122.17,119.7,185.73K,-1.24%
Dec 07 2006,117.78,120.1,121.69,117.61,209.69K,-2.10%
Dec 08 2006,116.2,117.31,118.72,116.1,353.04K,-1.34%
Dec 11 2006,117.98,116.02,119.93,116.02,228.95K,1.53%
Dec 12 2006,117.0,117.51,118.85,115.78,209.77K,-0.83%
Dec 13 2006,116.92,117.07,117.86,115.5,148.20K,-0.07%
Dec 14 2006,115.06,116.93,118.61,114.77,244.74K,-1.59%
Dec 15 2006,113.09,115.64,116.2,113.01,323.71K,-1.71%
Dec 18 2006,112.31,113.06,113.75,111.62,253.67K,-0.69%
Dec 19 2006,116.25,111.99,116.79,111.23,398.60K,3.51%
Dec 20 2006,115.2,116.14,117.6,114.06,210.27K,-0.90%
Dec 21 2006,115.8,115.62,118.26,114.96,241.70K,0.52%
Dec 22 2006,114.8,115.55,116.18,114.68,114.98K,-0.86%
Dec 26 2006,116.14,114.53,117.13,114.53,94.48K,1.17%
Dec 27 2006,116.91,116.82,117.8,115.56,91.45K,0.66%
Dec 28 2006,116.58,117.12,117.78,115.56,119.19K,-0.28%
Dec 29 2006,114.01,116.5,117.76,114.01,162.06K,-2.20%
Jan 03 2007,115.38,114.37,117.48,113.75,227.89K,1.20%
Jan 04 2007,117.32,114.42,117.92,113.33,223.65K,1.68%
Jan 05 2007,115.56,117.0,117.93,115.4,266.54K,-1.50%
Jan 08 2007,118.24,115.37,118.77,115.13,258.48K,2.32%
Jan 09 2007,120.15,117.79,120.64,116.86,258.36K,1.62%
Jan 10 2007,119.77,119.36,120.15,118.15,202.96K,-0.32%
Jan 11 2007,122.1,119.48,123.31,119.48,281.29K,1.95%
Jan 12 2007,122.16,122.28,123.06,119.86,125.65K,0.05%
Jan 16 2007,120.55,122.17,123.12,120.41,141.11K,-1.32%
Jan 17 2007,123.97,120.76,125.5,119.87,308.32K,2.84%
Jan 18 2007,118.39,124.17,124.26,118.22,421.86K,-4.50%
Jan 19 2007,121.86,118.39,122.5,118.01,362.48K,2.93%
Jan 22 2007,120.28,122.38,122.38,117.94,292.10K,-1.30%
