Date;Price;Open;High;Low;Vol.;Change %
07/06/2023;112;111.68;112.91;111.67;2.97M;-0.28%
07/05/2023;112.31;112.31;112.86;111.5;2.18M;-0.55%
07/03/2023;112.93;112.47;112.93;111.44;1.48M;-0.13%
06/30/2023;113.08;113.15;114.11;112.86;3.12M;0.71%
06/29/2023;112.28;111.68;112.32;111.17;1.72M;0.50%
06/28/2023;111.72;111.03;111.87;110.53;1.77M;0.77%
06/27/2023;110.87;110.57;111;110;1.71M;0.67%
06/26/2023;110.13;110.97;111.1;109.78;2.64M;-0.86%
06/23/2023;111.09;110.5;111.32;109.92;2.73M;0.37%
06/22/2023;110.68;111.02;111.08;110.19;1.43M;-0.47%
06/21/2023;111.2;112.1;112.1;110.78;1.88M;-0.86%
06/20/2023;112.17;111.21;112.48;110.9;2.89M;0.44%
06/16/2023;111.68;112.82;113.07;111.4;3.81M;-0.62%
06/15/2023;112.38;110.87;113.15;110.75;2.21M;1.55%
06/14/2023;110.67;108.76;110.84;108.52;2.10M;1.54%
06/13/2023;108.99;108.61;109.54;108.26;1.76M;0.45%
06/12/2023;108.5;109.69;109.86;107.54;2.90M;-1.33%
06/09/2023;109.96;110.52;110.7;109.75;2.08M;-0.58%
06/08/2023;110.6;108.32;110.81;108.14;2.45M;2.10%
06/07/2023;108.32;108.38;108.81;107.74;2.30M;-0.11%
06/06/2023;108.44;108.5;109.21;107.86;2.65M;0.11%
06/05/2023;108.32;108.45;109.03;107.52;1.96M;0.31%
06/02/2023;107.98;106.99;109;106.51;2.29M;1.51%
06/01/2023;106.37;106.1;106.51;105.25;1.94M;0.40%
05/31/2023;105.95;104.04;106.5;103.87;4.26M;1.48%
05/30/2023;104.4;105.52;105.61;103.81;1.47M;-0.72%
05/26/2023;105.16;105.04;105.79;104.62;1.52M;0.05%
05/25/2023;105.11;106.39;106.39;104.47;1.79M;-1.38%
05/24/2023;106.58;107.4;107.59;106.25;1.45M;-1.21%
05/23/2023;107.89;108.48;108.87;107.25;2.29M;-1.18%
05/22/2023;109.18;108.46;109.51;108.17;1.59M;1.06%
05/19/2023;108.03;108.97;109.17;107.94;3.57M;-0.48%
05/18/2023;108.55;108.91;108.99;107.49;2.15M;-0.05%
05/17/2023;108.6;109.47;109.65;107.25;3.47M;-0.37%
05/16/2023;109;109.82;110.16;108.95;2.29M;-0.78%
05/15/2023;109.86;109.03;109.93;108.89;2.17M;1.17%
05/12/2023;108.59;108.38;108.98;108;1.62M;0.35%
05/11/2023;108.21;108.38;108.48;107.41;1.32M;-0.26%
05/10/2023;108.49;106.79;108.88;106.55;1.75M;2.15%
05/09/2023;106.21;106.81;107.01;106.06;1.98M;-0.94%
05/08/2023;107.22;108.4;108.4;107.16;1.59M;-1.01%
05/05/2023;108.31;107.23;108.52;106.72;2.01M;1.46%
05/04/2023;106.75;104.5;107.49;104.26;3.12M;1.83%
05/03/2023;104.83;107.27;107.35;104.79;2.68M;-2.13%
05/02/2023;107.11;108.39;108.61;105.69;2.16M;-1.39%
05/01/2023;108.62;108.78;109.19;108.13;1.62M;-0.28%
04/28/2023;108.93;107.3;108.95;107.19;2.18M;1.41%
04/27/2023;107.42;105.32;107.51;104.88;2.01M;2.69%
04/26/2023;104.61;105.46;105.75;103.97;3.44M;-1.63%
04/25/2023;106.34;107.5;107.53;106.05;1.86M;-1.47%
04/24/2023;107.93;108.81;108.93;107.64;1.36M;-0.39%
04/21/2023;108.35;107.93;108.49;107.07;1.67M;0.55%
04/20/2023;107.76;108.02;108.42;107.18;1.50M;-0.54%
04/19/2023;108.34;107.34;109.1;107.34;1.58M;0.79%
04/18/2023;107.49;107.94;108.21;107.45;1.92M;-0.46%
04/17/2023;107.99;107.33;107.99;107.03;2.22M;0.45%
04/14/2023;107.51;107.7;107.89;106.73;2.05M;0.00%
04/13/2023;107.51;107.13;107.96;106.78;1.73M;0.39%
04/12/2023;107.09;106.91;107.65;106.53;2.26M;0.90%
04/11/2023;106.13;106.53;107.18;105.89;2.51M;-0.24%
04/10/2023;106.38;107.53;107.76;105.74;1.78M;-1.73%
04/06/2023;108.25;106.31;108.32;106.24;3.10M;1.91%
04/05/2023;106.22;106.46;107.19;105.47;2.96M;0.17%
04/04/2023;106.04;105.85;106.78;105.13;3.16M;0.59%
04/03/2023;105.42;104.48;105.49;104.08;2.66M;1.08%
03/31/2023;104.29;103.5;104.38;103.3;3.19M;1.52%
03/30/2023;102.73;102.54;103.03;101.83;2.91M;1.04%
03/29/2023;101.67;100.18;101.86;99.84;3.68M;2.59%
03/28/2023;99.1;98.59;99.32;98.42;1.75M;1.07%
03/27/2023;98.05;98.36;98.92;97.62;2.23M;0.57%
03/24/2023;97.49;96.06;97.78;95.72;2.00M;0.99%
03/23/2023;96.53;97.36;97.7;95.66;3.44M;-0.89%
03/22/2023;97.4;100.34;100.34;97.32;2.16M;-2.33%
03/21/2023;99.72;99.3;100.09;98.87;2.62M;1.71%
03/20/2023;98.04;97.36;98.26;96.81;3.11M;1.07%
03/17/2023;97;98.79;99.56;96.43;6.09M;-2.25%
03/16/2023;99.23;96.48;100;96.2;3.96M;1.75%
03/15/2023;97.52;96.98;98.56;96.73;4.26M;-1.35%
03/14/2023;98.85;99.33;99.77;98.21;3.52M;1.21%
03/13/2023;97.67;94.4;98.18;94.16;5.41M;2.39%
03/10/2023;95.39;99.4;99.72;94.72;5.38M;-4.71%
03/09/2023;100.1;102.7;102.83;99.55;3.51M;-2.45%
03/08/2023;102.61;103;103.63;102.17;2.65M;-0.34%
03/07/2023;102.96;104.28;106.12;102.75;4.81M;-0.27%
03/06/2023;103.24;102.9;104.37;102.55;2.38M;0.74%
03/03/2023;102.48;102.87;102.87;101.93;2.94M;-0.22%
03/02/2023;102.71;100.18;102.75;100.18;5.82M;1.79%
03/01/2023;100.9;101.71;102.12;100.63;2.86M;-0.88%
02/28/2023;101.8;101.32;102.42;100.87;4.18M;0.29%
02/27/2023;101.51;102.94;103.59;101.11;4.05M;-0.98%
02/24/2023;102.51;102.83;103.13;101.55;2.77M;-1.20%
02/23/2023;103.76;104.8;104.97;102.76;2.73M;-0.51%
02/22/2023;104.29;103.9;104.64;103.23;2.32M;0.12%
02/21/2023;104.16;106.2;106.55;103.53;2.64M;-2.75%
02/17/2023;107.11;106.79;107.53;106.29;1.70M;-0.02%
02/16/2023;107.13;107.33;108.24;106.98;2.22M;-1.39%
02/15/2023;108.64;108.07;109.26;107.61;1.43M;0.22%
02/14/2023;108.4;109.07;110.05;107.78;1.96M;-0.72%
02/13/2023;109.19;109.06;109.36;108.63;1.57M;0.44%
02/10/2023;108.71;107.14;108.89;106.9;1.59M;1.09%
02/09/2023;107.54;109.69;109.9;107.28;3.56M;-1.57%
02/08/2023;109.25;108.49;109.87;108.3;2.34M;-0.09%
02/07/2023;109.35;107.49;109.65;107.19;2.04M;0.95%
02/06/2023;108.32;106.53;108.59;105.61;2.10M;0.61%
02/03/2023;107.66;107.33;108.65;106.31;2.31M;-0.62%
02/02/2023;108.33;110.34;111.29;107.49;3.47M;-0.62%
02/01/2023;109.01;106.82;109.56;106.78;2.44M;1.36%
01/31/2023;107.55;106.76;107.59;106.51;2.15M;0.83%
01/30/2023;106.66;107.26;108.16;106.56;1.97M;-1.19%
01/27/2023;107.94;107.35;108.46;106.43;3.47M;-0.23%
01/26/2023;108.19;106.93;108.28;106.35;1.34M;1.60%
01/25/2023;106.49;104.92;106.99;104.2;2.38M;0.23%
01/24/2023;106.25;108.8;108.85;105.79;2.52M;-2.23%
01/23/2023;108.67;108.57;109.58;107.66;1.96M;0.18%
01/20/2023;108.48;107.05;108.57;106.5;1.69M;1.46%
01/19/2023;106.92;107.06;107.8;106.3;2.18M;-0.70%
01/18/2023;107.67;107.65;108.86;107.25;2.40M;0.24%
01/17/2023;107.41;107.45;108.4;106.96;2.42M;-0.20%
01/13/2023;107.63;108.09;108.26;106.38;1.73M;-1.28%
01/12/2023;109.03;109;109.59;107.72;2.82M;0.31%
01/11/2023;108.69;107.27;109.07;106.89;2.65M;1.91%
01/10/2023;106.65;105.11;106.85;104.85;1.47M;1.34%
01/09/2023;105.24;105.28;106.56;104.85;3.98M;0.32%
01/06/2023;104.9;103.41;105.25;102.15;1.59M;2.26%
01/05/2023;102.58;102.95;103.67;102.38;1.22M;-1.30%
01/04/2023;103.93;104.44;104.76;103.36;1.53M;0.68%
01/03/2023;103.23;103.62;104.47;102.42;1.92M;0.62%
12/30/2022;102.59;103.24;103.9;101.5;1.18M;-1.45%
12/29/2022;104.1;103.14;104.62;102.86;993.85K;1.79%
12/28/2022;102.27;102.81;103.52;102.22;1.59M;0.16%
12/27/2022;102.11;102.79;103.15;101.64;2.69M;-0.68%
12/23/2022;102.81;102.5;103.22;102.15;1.32M;0.34%
12/22/2022;102.46;101.33;102.51;100.75;2.16M;-0.09%
12/21/2022;102.55;100.83;102.83;100.81;2.42M;2.15%
12/20/2022;100.39;100.45;101.23;99.87;1.64M;0.11%
12/19/2022;100.28;100.83;101.6;99.58;1.67M;-0.48%
12/16/2022;100.76;101.15;101.75;100.08;6.12M;-1.43%
12/15/2022;102.22;102.62;103.14;101.34;2.02M;-1.65%
12/14/2022;103.93;105.55;106.87;103.46;2.24M;-2.30%
12/13/2022;106.38;108.25;108.38;105.69;2.30M;1.06%
12/12/2022;105.26;102.85;105.3;102.65;2.23M;1.87%
12/09/2022;103.33;104.1;104.72;103.27;2.16M;-1.06%
12/08/2022;104.44;103.91;105;103.35;2.13M;0.88%
12/07/2022;103.53;105.03;105.96;103.24;3.04M;-2.09%
12/06/2022;105.74;107.11;107.48;105.46;1.87M;-1.26%
12/05/2022;107.09;108.87;109.23;106.7;1.84M;-1.98%
12/02/2022;109.25;107.97;109.71;107.37;1.17M;-0.26%
12/01/2022;109.53;108.89;109.97;108.28;1.75M;1.13%
11/30/2022;108.31;105.1;108.38;104.61;3.50M;2.82%
11/29/2022;105.34;104.93;106.31;104.79;1.41M;0.25%
11/28/2022;105.08;106.42;106.95;104.68;2.26M;-1.90%
11/25/2022;107.12;106.41;107.46;106.32;817.73K;0.17%
11/23/2022;106.94;105.98;107.7;105.41;1.35M;0.86%
11/22/2022;106.03;105.95;106.27;104.8;1.52M;0.65%
11/21/2022;105.35;103.95;106.32;103.11;1.99M;1.09%
11/18/2022;104.21;105.43;105.57;103.22;1.59M;0.11%
11/17/2022;104.1;103.58;104.58;102.48;2.35M;0.08%
11/16/2022;104.02;105.05;105.93;103.56;2.26M;-0.98%
11/15/2022;105.05;105.23;106.22;103.57;2.75M;0.91%
11/14/2022;104.1;103.93;105.87;103.51;2.82M;-0.21%
11/11/2022;104.32;103.05;104.64;102.02;2.45M;1.74%
11/10/2022;102.54;100.61;102.63;99.08;2.86M;5.43%
11/09/2022;97.26;99.36;99.51;97.08;1.68M;-2.18%
11/08/2022;99.43;97.73;101.23;97.36;2.93M;1.98%
11/07/2022;97.5;97.69;97.79;96.61;2.08M;0.91%
11/04/2022;96.62;96.48;96.71;94.19;3.17M;1.20%
11/03/2022;95.47;92.61;97.38;92.26;3.60M;3.07%
11/02/2022;92.63;93.79;94.81;92.33;4.57M;-1.48%
11/01/2022;94.02;96.5;96.69;93.89;5.01M;-1.62%
10/31/2022;95.57;96.6;96.86;95.28;2.01M;-1.15%
10/28/2022;96.68;95.4;96.82;95.1;1.78M;1.10%
10/27/2022;95.63;94.52;96.47;93.93;2.61M;1.85%
10/26/2022;93.89;95.16;95.99;93.8;2.84M;-1.33%
10/25/2022;95.16;92.91;95.18;92.43;3.10M;2.06%
10/24/2022;93.24;93.73;94.63;92.97;2.28M;0.20%
10/21/2022;93.05;90.31;93.14;89.49;4.95M;3.01%
10/20/2022;90.33;91.84;92.14;90.16;2.49M;-1.42%
10/19/2022;91.63;92.39;92.84;90.56;2.20M;-1.16%
10/18/2022;92.71;94.18;94.45;91.99;2.83M;1.01%
10/17/2022;91.78;90.97;92.6;90.96;3.05M;1.81%
10/14/2022;90.15;93.25;94.49;89.92;2.93M;-2.51%
10/13/2022;92.47;89.03;92.86;88.6;3.03M;2.05%
10/12/2022;90.61;90.54;91.79;90.31;2.67M;-0.20%
10/11/2022;90.79;90.25;91.99;89.66;3.68M;0.59%
10/10/2022;90.26;90.34;90.69;89.58;2.32M;0.27%
10/07/2022;90.02;92.52;92.75;89.21;3.89M;-3.57%
10/06/2022;93.35;93.11;93.87;92.79;3.30M;-0.06%
10/05/2022;93.41;93.88;94.53;93.11;2.25M;-0.80%
