Date;Price;Open;High;Low;Vol.;Change %
07/06/2023;143.21;143.02;143.39;141.44;9.54M;-0.99%
07/05/2023;144.64;144.94;145.43;144.36;8.82M;-1.34%
07/03/2023;146.61;146.54;147.47;146.03;8.02M;0.80%
06/30/2023;145.44;144.6;146;143.66;14.21M;1.40%
06/29/2023;143.43;140.07;143.56;139.85;15.19M;3.49%
06/28/2023;138.59;139.16;139.21;137.96;7.37M;-0.44%
06/27/2023;139.2;139;139.84;138.54;8.10M;0.01%
06/26/2023;139.19;138.87;140.01;137.69;8.36M;0.24%
06/23/2023;138.85;138.54;139.18;137.62;9.92M;-0.52%
06/22/2023;139.58;142.31;142.6;138.95;9.69M;-1.93%
06/21/2023;142.32;142.9;144.02;141.69;9.57M;-0.15%
06/20/2023;142.53;142.61;143;141.04;8.31M;-0.51%
06/16/2023;143.26;143.05;143.96;142.5;13.81M;0.12%
06/15/2023;143.09;140.59;143.4;140.03;9.24M;1.13%
06/14/2023;141.49;143;143.61;140.7;9.03M;-0.37%
06/13/2023;142.02;140.48;142.87;140.14;7.70M;0.72%
06/12/2023;141;141.07;141.32;139.76;7.59M;-0.01%
06/09/2023;141.01;140.35;141.8;140.21;7.23M;0.20%
06/08/2023;140.73;140.67;140.89;139.48;7.14M;0.03%
06/07/2023;140.69;139.55;141.27;138.83;9.28M;0.97%
06/06/2023;139.34;138.68;140.1;138.21;9.27M;0.18%
06/05/2023;139.09;140.11;139.31;138.13;8.49M;-0.98%
06/02/2023;140.47;139.56;141.48;139.34;12.76M;2.10%
06/01/2023;137.58;136.52;138.23;135.45;12.02M;1.38%
05/31/2023;135.71;136.73;136.84;134.4;13.75M;-1.27%
05/30/2023;137.46;136.8;137.72;136.02;7.35M;0.38%
05/26/2023;136.94;136.11;137.6;135.63;8.58M;0.94%
05/25/2023;135.67;134.82;136.27;134.58;8.06M;0.24%
05/24/2023;135.34;135.4;136.35;135.08;8.05M;-0.92%
05/23/2023;136.59;137.54;139.03;136.46;9.45M;-1.04%
05/22/2023;138.03;141;141.64;137.66;11.34M;-0.83%
05/19/2023;139.18;139.79;140.49;138.13;13.49M;-0.23%
05/18/2023;139.5;138.27;139.73;137.76;10.47M;0.76%
05/17/2023;138.45;135.9;138.59;135.46;12.71M;3.07%
05/16/2023;134.32;135.46;135.94;133.96;6.48M;-0.67%
05/15/2023;135.23;134.27;135.67;133.96;7.64M;0.84%
05/12/2023;134.1;136.82;136.99;133.13;9.99M;-1.43%
05/11/2023;136.05;135;136.81;134.9;7.06M;-0.32%
05/10/2023;136.48;137.95;138.06;134.87;8.13M;0.05%
05/09/2023;136.41;135.93;136.95;135.21;7.34M;-0.48%
05/08/2023;137.07;137.49;137.97;136.48;7.48M;0.24%
05/05/2023;136.74;136.44;137.88;135.91;11.26M;1.95%
05/04/2023;134.12;134.96;135.72;131.81;17.09M;-1.37%
05/03/2023;135.98;138.44;138.67;135.76;12.93M;-2.12%
05/02/2023;138.92;141.4;142.41;138.43;14.11M;-1.61%
05/01/2023;141.2;142.26;143.37;140.83;20.42M;2.14%
04/28/2023;138.24;136.56;138.32;135.67;9.89M;0.87%
04/27/2023;137.05;136;137.91;135.66;9.04M;1.35%
04/26/2023;135.23;137.62;137.81;134;14.42M;-1.77%
04/25/2023;137.67;139.6;139.96;137.63;10.63M;-2.17%
04/24/2023;140.73;140.46;141.1;140.04;7.57M;0.14%
04/21/2023;140.54;139.74;141.11;138.78;11.84M;-0.19%
04/20/2023;140.81;139.91;141.43;139.84;10.59M;-0.29%
04/19/2023;141.22;141.23;141.5;140.4;9.16M;-0.13%
04/18/2023;141.4;140.27;141.78;139.03;13.76M;1.12%
