Date;Price;Open;High;Low;Vol.;Change %
07/06/2023;421.03;418.44;421.79;413.46;30.26M;-0.51%
07/05/2023;423.17;421.35;431.77;420.85;32.20M;-0.23%
07/03/2023;424.13;426;428.89;422.03;19.82M;0.26%
06/30/2023;423.02;416.8;425.5;415.01;50.11M;3.63%
06/29/2023;408.22;415.58;416;406;37.37M;-0.72%
06/28/2023;411.17;406.6;418.45;405.18;57.99M;-1.81%
06/27/2023;418.76;407.99;419.4;404.48;44.82M;3.06%
06/26/2023;406.32;424.61;427.64;401;58.90M;-3.74%
06/23/2023;422.09;424.64;428.09;420.15;35.81M;-1.90%
06/22/2023;430.25;422.53;434.26;422.34;40.81M;-0.05%
06/21/2023;430.45;435.01;436.15;420.8;55.16M;-1.74%
06/20/2023;438.08;429.98;439.9;426.74;44.80M;2.61%
06/16/2023;426.92;434.5;437.21;426.61;65.57M;0.09%
06/15/2023;426.53;426.02;432.89;421.47;56.67M;-0.80%
06/14/2023;429.97;408.24;430;405.52;72.94M;4.81%
06/13/2023;410.22;401.86;411.01;397.4;60.77M;3.90%
06/12/2023;394.82;392;395.3;386.18;38.44M;1.84%
06/09/2023;387.7;390.37;397.11;385.67;42.77M;0.68%
06/08/2023;385.1;377.24;388.64;375.05;41.78M;2.76%
06/07/2023;374.75;389.15;394.99;373.56;51.20M;-3.05%
06/06/2023;386.54;388.3;391.6;381.48;37.99M;-1.32%
06/05/2023;391.71;389.09;395.65;387.07;39.38M;-0.40%
06/02/2023;393.27;400.97;405;390.58;48.27M;-1.11%
06/01/2023;397.7;384.89;400.5;383.4;62.37M;5.12%
05/31/2023;378.34;394.88;402.95;378.22;99.88M;-5.68%
05/30/2023;401.11;405.95;419.38;399.49;91.42M;2.99%
05/26/2023;389.46;378.9;391.7;375.5;71.44M;2.54%
05/25/2023;379.8;385.23;394.8;366.35;153.46M;24.37%
05/24/2023;305.38;302.1;306.07;298.06;55.28M;-0.49%
05/23/2023;306.88;310;312.88;306.31;35.47M;-1.57%
05/22/2023;311.76;309.01;315.2;306.8;36.97M;-0.28%
05/19/2023;312.64;315.36;315.8;309.16;47.39M;-1.31%
05/18/2023;316.78;304.1;318.28;303.2;73.89M;4.97%
05/17/2023;301.78;295.84;301.99;294.3;43.25M;3.30%
05/16/2023;292.13;288.41;298.7;288.32;44.94M;0.90%
05/15/2023;289.53;285.08;289.69;281.52;29.30M;2.16%
05/12/2023;283.4;285.29;287.8;280.46;27.42M;-0.83%
05/11/2023;285.78;288.96;289.5;282.46;32.21M;-1.06%
05/10/2023;288.85;290.05;291.13;284.61;36.94M;1.10%
05/09/2023;285.71;288.99;289.73;284.5;31.49M;-1.99%
05/08/2023;291.51;285.22;292.2;283.5;34.50M;1.64%
05/05/2023;286.8;278.26;287.55;277.31;36.15M;4.06%
05/04/2023;275.62;276.51;278.59;272.4;31.94M;-0.86%
05/03/2023;278.02;278.4;283.67;274.72;38.10M;-1.45%
05/02/2023;282.1;286.8;288.36;280.83;40.27M;-2.42%
05/01/2023;289.1;278.4;290.58;277.8;56.62M;4.18%
04/28/2023;277.49;272.25;277.58;270.71;29.22M;1.92%
04/27/2023;272.26;273.63;274.95;266.25;37.43M;1.00%
04/26/2023;269.56;270.02;273.3;267.05;40.45M;2.72%
04/25/2023;262.41;270.78;272.47;262.25;36.76M;-2.96%
04/24/2023;270.42;270.13;273.66;266.71;32.65M;-0.28%
04/21/2023;271.19;269.52;271.83;267.22;34.51M;0.06%
04/20/2023;271.04;276.71;280.3;270;42.77M;-2.96%
04/19/2023;279.31;273.61;280;272.32;35.14M;0.95%
04/18/2023;276.67;275.33;281.1;273.57;60.27M;2.46%
04/17/2023;270.02;265.65;270.06;264.33;32.15M;0.91%
04/14/2023;267.58;265.04;268.83;262.2;39.57M;1.11%
04/13/2023;264.63;267.34;268.87;263.29;35.22M;-0.12%
04/12/2023;264.95;273.7;274.68;264.48;44.35M;-2.48%
04/11/2023;271.69;277.23;277.9;271.26;30.23M;-1.49%
04/10/2023;275.79;268.23;276.21;266.69;37.98M;2.00%
04/06/2023;270.37;265.84;270.8;264.27;39.77M;0.58%
04/05/2023;268.81;268.29;269.98;263.95;50.33M;-2.08%
04/04/2023;274.53;279.66;280;273.07;36.64M;-1.83%
04/03/2023;279.65;275.09;280;273.36;39.62M;0.68%
03/31/2023;277.77;271.4;278.34;271.05;43.39M;1.44%
03/30/2023;273.83;272.29;274.99;271.02;35.64M;1.48%
03/29/2023;269.84;268.25;270.78;265.97;39.37M;2.17%
03/28/2023;264.1;264.47;265.13;258.5;35.48M;-0.46%
03/27/2023;265.31;268.37;270;263.65;36.02M;-0.93%
03/24/2023;267.79;270.31;271.67;263.55;45.54M;-1.52%
03/23/2023;271.91;271.15;274.99;266.9;56.18M;2.73%
03/22/2023;264.68;264.25;275.89;262.37;79.26M;1.03%
03/21/2023;261.99;261.8;263.92;253.81;54.52M;1.15%
03/20/2023;259;256.15;260.24;251.3;43.15M;0.68%
03/17/2023;257.25;259.82;263.99;256.68;84.85M;0.72%
03/16/2023;255.41;240.27;255.88;238.94;58.49M;5.42%
03/15/2023;242.28;237.61;242.86;233.6;51.77M;0.69%
03/14/2023;240.63;234.96;242.19;234.6;47.15M;4.78%
03/13/2023;229.66;227.52;232.98;222.97;42.19M;0.00%
03/10/2023;229.65;234.09;236.27;227.26;47.49M;-2.01%
03/09/2023;234.36;241.75;244.54;233.83;49.94M;-3.08%
03/08/2023;241.81;234.87;242;234.24;51.36M;3.83%
03/07/2023;232.88;236;241.25;232.41;51.52M;-1.13%
03/06/2023;235.54;238.91;242.48;234.87;43.74M;-1.41%
03/03/2023;238.9;233.2;239;231.3;40.94M;2.47%
03/02/2023;233.14;224.88;233.8;224.32;38.15M;2.71%
03/01/2023;226.98;231.92;232.56;225.08;45.52M;-2.23%
02/28/2023;232.16;233.72;238.25;232.06;45.60M;-1.21%
02/27/2023;235.01;236.7;238.8;234.54;45.30M;0.92%
02/24/2023;232.86;232.25;234.74;229.47;58.97M;-1.60%
02/23/2023;236.64;234.4;238.88;230.25;111.80M;14.02%
02/22/2023;207.54;207.07;211.04;204.21;51.32M;0.48%
02/21/2023;206.55;210;214.94;206.18;41.00M;-3.43%
02/17/2023;213.88;216.31;217.4;209.75;46.59M;-2.79%
02/16/2023;220.02;221.33;225.5;219.27;40.88M;-3.35%
02/15/2023;227.64;225.49;228.55;221.06;42.01M;-0.90%
02/14/2023;229.71;215.78;230.49;213.66;67.55M;5.43%
02/13/2023;217.88;215.38;220.48;209.62;47.34M;2.46%
02/10/2023;212.65;216.9;220.78;208.11;55.07M;-4.80%
02/09/2023;223.37;226.06;230.2;221.2;52.10M;0.59%
02/08/2023;222.05;223.87;228.78;220.08;54.74M;0.14%
02/07/2023;221.73;213.82;222.59;211.5;66.11M;5.14%
02/06/2023;210.89;208.06;215.7;207.86;45.13M;-0.05%
02/03/2023;211;210;217.45;207.89;42.94M;-2.81%
02/02/2023;217.09;210;219.49;207;55.96M;3.66%
02/01/2023;209.43;196.91;211.92;196.11;65.55M;7.20%
01/31/2023;195.37;191.7;196.87;189.5;49.80M;1.96%
01/30/2023;191.62;199.5;201.4;191.5;48.67M;-5.91%
01/27/2023;203.65;194.62;206.28;194.05;54.21M;2.84%
01/26/2023;198.02;197.01;201.66;192.78;48.53M;2.48%
01/25/2023;193.23;189.13;193.7;185.8;44.76M;0.30%
01/24/2023;192.65;188.27;194.95;188.2;48.75M;0.38%
01/23/2023;191.93;180.64;192.45;178.18;65.30M;7.59%
01/20/2023;178.39;170.11;178.56;168.25;56.50M;6.41%
01/19/2023;167.65;170.36;171.97;167.31;45.14M;-3.52%
01/18/2023;173.77;176.67;178.73;172.82;43.96M;-1.84%
01/17/2023;177.02;168.99;177.28;168.99;50.94M;4.75%
01/13/2023;168.99;162.78;169.22;161.65;44.73M;2.35%
01/12/2023;165.11;161;166.37;154.92;55.02M;3.19%
01/11/2023;160.01;158.4;160.28;155.63;35.25M;0.58%
01/10/2023;159.09;155.07;159.62;154.72;38.33M;1.80%
01/09/2023;156.28;152.84;160.56;151.41;50.34M;5.18%
01/06/2023;148.59;144.74;150.1;140.34;40.50M;4.16%
01/05/2023;142.65;144.91;145.64;141.48;38.85M;-3.28%
01/04/2023;147.49;145.67;148.53;142.41;43.04M;3.03%
01/03/2023;143.15;148.51;149.96;140.96;40.06M;-2.05%
12/30/2022;146.14;143.34;146.29;142.33;31.05M;0.08%
12/29/2022;146.03;144.02;146.83;142.27;35.42M;4.04%
12/28/2022;140.36;139.27;142.62;138.84;35.02M;-0.60%
12/27/2022;141.21;150.74;151;140.56;46.25M;-7.14%
12/23/2022;152.06;151.96;153.39;148.83;34.93M;-0.87%
12/22/2022;153.39;160.93;161.38;148.82;56.40M;-7.04%
12/21/2022;165.01;161.14;166.27;161.02;32.44M;2.59%
12/20/2022;160.85;160.64;163.1;158.52;40.22M;-1.04%
12/19/2022;162.54;165.72;166.09;161.45;35.32M;-1.91%
12/16/2022;165.71;168.64;170.41;164.1;47.82M;-2.25%
12/15/2022;169.52;171.46;173.2;167;47.78M;-4.09%
12/14/2022;176.74;179.87;182.52;174.2;49.69M;-2.20%
12/13/2022;180.72;185.31;187.9;177.11;65.55M;3.06%
12/12/2022;175.35;170.37;175.38;167.97;45.48M;3.14%
12/09/2022;170.01;171.6;175.83;169.75;46.53M;-0.98%
12/08/2022;171.69;162.73;171.79;159.59;51.31M;6.51%
12/07/2022;161.2;157.72;161.86;156.67;37.16M;0.83%
12/06/2022;159.87;165.3;165.73;158.19;35.19M;-3.75%
12/05/2022;166.1;166.79;169.95;164.72;35.01M;-1.58%
12/02/2022;168.76;166.59;169.33;164.45;37.14M;-1.51%
12/01/2022;171.35;169.99;172.65;166.35;47.10M;1.25%
11/30/2022;169.23;156.97;169.3;155.97;56.53M;8.21%
11/29/2022;156.39;158.27;159.32;155.2;29.84M;-1.19%
11/28/2022;158.27;160.26;163.57;157.25;30.42M;-2.72%
11/25/2022;162.7;163.18;164.87;161.72;16.79M;-1.51%
11/23/2022;165.19;160.98;165.27;160.48;42.72M;3.00%
11/22/2022;160.38;153.28;160.58;151.22;47.29M;4.71%
11/21/2022;153.17;151.47;154.77;150.8;40.47M;-0.60%
11/18/2022;154.09;159.66;160.02;151.2;49.21M;-1.71%
11/17/2022;156.77;157.15;162.66;155.35;71.09M;-1.46%
11/16/2022;159.1;161.62;163.62;158.73;64.95M;-4.54%
11/15/2022;166.66;167.21;169.98;163.82;54.59M;2.28%
11/14/2022;162.95;162.18;165.4;159.22;52.79M;-0.20%
11/11/2022;163.27;158.07;163.89;154.82;65.55M;3.66%
11/10/2022;157.5;148;157.73;145.47;70.08M;14.33%
11/09/2022;137.76;141.62;142.11;137.59;45.44M;-5.66%
11/08/2022;146.02;148.01;148.91;142.16;59.53M;2.10%
11/07/2022;143.01;142.28;144.12;139.54;41.01M;1.02%
11/04/2022;141.56;139.86;142.29;136.97;61.26M;5.48%
11/03/2022;134.21;130.43;137.81;129.56;50.01M;1.53%
11/02/2022;132.19;138.5;142.1;132.11;67.26M;-2.39%
11/01/2022;135.43;138.11;139.25;135.19;43.28M;0.34%
10/31/2022;134.97;137.78;138.38;132.97;48.63M;-2.44%
10/28/2022;138.34;131.04;138.5;130.61;52.10M;4.99%
10/27/2022;131.76;136.3;138.38;131.22;58.31M;2.17%
10/26/2022;128.96;128.69;133.88;127.08;53.55M;-2.75%
10/25/2022;132.61;126.93;133;126.64;50.55M;5.25%
10/24/2022;125.99;125.08;127.1;120.64;51.75M;1.07%
10/21/2022;124.66;120.98;124.98;118.87;60.95M;2.23%
10/20/2022;121.94;121.13;127.69;121.05;65.24M;1.19%
10/19/2022;120.51;118.79;123.5;118.34;52.31M;0.70%
10/18/2022;119.67;123.44;124.92;116.18;65.94M;0.66%
10/17/2022;118.88;115.18;119.48;115.17;58.08M;5.89%
10/14/2022;112.27;120.57;121.11;112.04;71.34M;-6.13%
10/13/2022;119.6;109.71;120.78;108.13;85.01M;4.00%
10/12/2022;115;115.79;117.35;113.45;49.26M;-0.74%
10/11/2022;115.86;115.61;118.46;112.83;66.75M;-0.72%
10/10/2022;116.7;120.37;121.24;114.08;69.87M;-3.36%
10/07/2022;120.76;125.05;126.7;120.22;67.25M;-8.03%
10/06/2022;131.3;132.2;136.56;131.03;64.42M;-0.60%
10/05/2022;132.09;129.11;133.21;126.21;50.71M;0.32%
10/04/2022;131.67;128.79;132.2;128.79;58.42M;5.23%
10/03/2022;125.12;123.47;126.78;121.05;54.75M;3.07%
09/30/2022;121.39;120.87;126.33;120.75;56.56M;-0.66%
09/29/2022;122.2;124.48;125;119.46;53.28M;-4.05%
09/28/2022;127.36;124.1;128.23;123.54;54.24M;2.60%
09/27/2022;124.13;125.07;127.36;122.58;55.39M;1.51%
09/26/2022;122.28;124.91;126.59;122.14;54.73M;-2.30%
09/23/2022;125.16;124.2;126.11;122.57;66.33M;-0.36%
09/22/2022;125.61;130.7;131.49;124.28;75.92M;-5.28%
09/21/2022;132.61;132.13;140.31;131.1;80.77M;0.65%
09/20/2022;131.76;132.15;134.83;130.57;52.48M;-1.54%
09/19/2022;133.82;130.12;134.63;130.1;56.97M;1.39%
09/16/2022;131.98;127.42;132.12;126.17;67.08M;2.08%
09/15/2022;129.29;130.15;132.33;127.9;52.36M;-1.52%
09/14/2022;131.28;132.54;132.9;129.13;58.85M;-0.02%
09/13/2022;131.31;138.02;139.22;130.99;71.50M;-9.47%
09/12/2022;145.05;143.69;145.47;141.98;48.42M;0.82%
09/09/2022;143.87;141.57;144.74;141.26;48.71M;2.84%
09/08/2022;139.9;134.59;140.08;133.69;62.49M;2.01%
09/07/2022;137.14;135.63;138.38;133.46;51.27M;1.85%
09/06/2022;134.65;137.31;137.79;133.51;53.58M;-1.33%
09/02/2022;136.47;141;141.71;135.91;74.32M;-2.08%
09/01/2022;139.37;142.09;143.8;132.7;117.89M;-7.67%
08/31/2022;150.94;153.84;155.4;149.59;57.37M;-2.42%
08/30/2022;154.68;159.6;160.39;151.82;53.02M;-2.11%
